མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
,,219,9,《པེ་》,གཟིགས།,,
,,220,10,《པེ་》,གདུགས།,,
,,221,11,《པེ་》《སྣར་》,བསད།,,
,,222,12,《པེ་》《སྣར་》,ལྷག,,
,762,223,1,《པེ་》《སྣར་》,དྲོད།,,
,,224,2,《པེ་》《སྣར་》,བསད།,,
,,225,3,《པེ་》《སྣར་》,སློང་གིས་བསད།,,
,,226,4,《པེ་》《སྣར་》,བསད།,,
,,227,5,《པེ་》《སྣར་》,གི།,,
,,228,6,《པེ་》,ཤྀ།,,
,,229,7,《པེ་》《སྣར་》,mཡང་།,,
,,230,8,《པེ་》,གིས་བསད།,《སྣར་》,གི་བསད།,
,,231,9,《པེ་》《སྣར་》,ཀར།,,
,,232,10,《སྣར་》,pབ།,,
,763,233,1,《པེ་》《སྣར་》,ཡི།,,
,,234,2,《པེ་》《སྣར་》,བསད།,,
,,235,3,《པེ་》《སྣར་》,pལ།,,
,,236,4,《པེ་》《སྣར་》,ཀུན།,,
,,237,5,《པེ་》《སྣར་》,གི་བསད།,,
,,238,6,《པེ་》《སྣར་》,ནས།,,
,,239,7,《པེ་》《སྣར་》,ངམ།,,
,,240,8,《པེ་》《སྣར་》,བསད།,,
,764,241,1,《པེ་》《སྣར་》,གི།,,
,,242,2,《པེ་》《སྣར་》,འགྲོར།,,
,,243,3,《པེ་》《སྣར་》,འཚིག,,
,,244,4,《པེ་》,སྲེད།,,
,,245,5,《པེ་》《སྣར་》,སྐྱེས་པར།,,
,,246,6,《ཅོ་》,གིས།,,
,,247,7,《པེ་》《སྣར་》,བསད།,,
,765,248,1,《པེ་》《སྣར་》,བསད།,《ཅོ་》,གསོད།,
,,249,2,《པེ་》,འགྱུར།,,
,,250,3,《པེ་》,མ།,,
,,251,4,《པེ་》《སྣར་》,བཞིན།,,
,,252,5,《པེ་》《སྣར་》,བསད།,,
,,253,6,《པེ་》《སྣར་》,གི།,,
,,254,7,《ཅོ་》,བརྩེགས།,,
,,255,8,《པེ་》《སྣར་》,བསད།,,
,,256,9,《པེ་》《སྣར་》,ནས།,,
,,257,10,《པེ་》《སྣར་》,བསད།,,
,,258,11,《པེ་》《སྣར་》,ཁྲོས་སེམས་ཀྱིས།,,
,,259,12,《པེ་》《སྣར་》,pབོང་བས་བསྣུན་ནམ།,,
,,260,13,《པེ་》《སྣར་》,དུ།,,
,,261,14,《པེ་》《སྣར་》,བཞོན།,,
,,262,15,《པེ་》《སྣར་》,གསོད།,,
,,263,16,《པེ་》《སྣར་》,གསོད།,,
,766,264,1,《པེ་》《སྣར་》,བསད།,,
,,265,2,《པེ་》,mཔ།,,
,,266,3,《པེ་》《སྣར་》,ཏ།,,
,,267,4,《ཅོ་》,ནམས།,,
,,268,5,《པེ་》《སྣར་》,ཀྱི།,,
,,269,6,《ཅོ་》,རྩ།,,
,,270,7,《ཅོ་》,pཔ།,,
,,271,8,《པེ་》《སྣར་》,ཤིང་།,,
,,272,9,《པེ་》《སྣར་》,mའགྱུར།,,
,,273,10,《པེ་》《སྣར་》,ཆོམ་ཞིག,,
,,274,11,《པེ་》《སྣར་》,གྱི།,,
,767,275,1,《ཅོ་》,ཕྱིན།,,
