མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,
,,272,4,《སྣར་》,ནི།,,,,,
,,273,5,《པེ་》《སྣར་》,ནི།,,,,,
,,274,6,《པེ་》《སྣར་》,བསྒོམ།,,,,,
,,275,7,《པེ་》《སྣར་》,mན།,,,,,
,61,276,1,《པེ་》《སྣར་》,pནི།,,,,,
,,277,2,《པེ་》《སྣར་》,སྡུད་པ་པོས།,,,,,
,,278,3,《པེ་》《སྣར་》,རྡུལ།,,,,,
,62,279,1,《པེ་》《སྣར་》,mདེ།,,,,,
,,280,2,《པེ་》《སྣར་》,mདང་།,,,,,
,,281,3,《པེ་》《སྣར་》,mལྡིང་།,,,,,
,,282,4,《པེ་》《སྣར་》,mསྟེ།,,,,,
,63,283,1,《པེ་》《སྣར་》,mཉིད།,,,,,
,,284,2,《པེ་》《སྣར་》,དང་སྤྲུལ་པའི་སྐུ་དག་གིས་གཤེགས་པས་ན།,,,,,
,,285,3,《པེ་》《སྣར་》,mདེ།,,,,,
,,286,4,《པེ་》《སྣར་》,mདོན་བྱེད་པ།,,,,,
,64,287,1,《པེ་》《སྣར་》,པ།,,,,,
,,288,2,《པེ་》《སྣར་》,གཞི།,,,,,
,,289,3,《པེ་》《སྣར་》,པ།,,,,,
,65,290,1,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,291,2,《པེ་》《སྣར་》,mཀྱི།,,,,,
,66,292,1,《པེ་》《སྣར་》,གྱིས།,,,,,
,,293,2,《པེ་》《སྣར་》,པ།,,,,,
,,294,3,《པེ་》《སྣར་》,པོར།,,,,,
,,295,4,《པེ་》《སྣར་》,བཞིར།,,,,,
,,296,5,《པེ་》《སྣར་》,ལ།,,,,,
,,297,6,《པེ་》,mསྣ།,,,,,
,67,298,1,《པེ་》《སྣར་》,ནི།,,,,,
,,299,2,《པེ་》《སྣར་》,བརླབས།,,,,,
,,300,3,《པེ་》《སྣར་》,སྦྱར།,,,,,
,,301,4,《པེ་》《སྣར་》,གྲུ།,,,,,
,,302,5,《པེ་》《སྣར་》,mཔོ།,,,,,
,,303,6,《སྣར་》,བསམ།,,,,,
,68,304,1,《པེ་》《སྣར་》,pཔོ།,,,,,
,,305,2,《པེ་》《སྣར་》,ཏོ།,,,,,
,,306,3,《པེ་》《སྣར་》,གྱིས།,,,,,
,,307,4,《པེ་》《སྣར་》,བཞུགས།,,,,,
,,308,5,《པེ་》《སྣར་》,འདུལ།,,,,,
,69,309,1,《པེ་》《སྣར་》,སྦྱང་།,,,,,
,,310,2,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,,311,3,《པེ་》《སྣར་》,ལྟར།,,,,,
,,312,4,《པེ་》《སྣར་》,pལོག་ཏུ།,,,,,
,,313,5,《སྣར་》,mརྡོ།,,,,,
,,314,6,《པེ་》《སྣར་》,བརླབ།,,,,,
,70,315,1,《པེ་》《སྣར་》,དཔའི།,,,,,
,71,316,1,《པེ་》《སྣར་》,དཔའི།,,,,,
,,317,2,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,318,3,《པེ་》《སྣར་》,mནི།,,,,,
,72,319,1,《པེ་》《སྣར་》,བྱ་བ།,,,,,
,,320,2,《པེ་》《སྣར་》,pཿ,,,,,
,,321,3,《པེ་》《སྣར་》,བས་འཆང་བ།,,,,,
,,322,4,《པེ་》《སྣར་》,རྣམས།,,,,,
,,323,5,《པེ་》《སྣར་》,mས།,,,,,
,,324,6,《པེ་》《སྣར་》,mགི།,,,,,
,,325,7,《པེ་》《སྣར་》,གྲུ།,,,,,
,,326,8,《པེ་》《སྣར་》,ལྟ།,,,,,
,73,327,1,《པེ་》《སྣར་》,པའི།,,,,,
,,328,2,《པེ་》《སྣར་》,གྱི།,,,,,
,,329,3,《པེ་》《སྣར་》,ལོག་དང་སྟེ།,,,,,
,,330,4,《པེ་》《སྣར་》,ལོ།,,,,,
,,331,5,《པེ་》《སྣར་》,བསྒོམས།,,,,,
,,332,6,《པེ་》《སྣར་》,སྟེ།,,,,,
,74,333,1,《པེ་》《སྣར་》,མཁའ།,,,,,
,,334,2,《པེ་》《སྣར་》,mསྒྲིབ་པ།,,,,,
