མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
,,220,7,《སྣར་》,བསལ།,,,,,,
,,221,8,《པེ་》《སྣར་》,ཡིན།,,,,,,
,,222,9,《པེ་》《སྣར་》,རྣམས།,,,,,,
,501,223,1,《པེ་》《སྣར་》,རྟོག་པ་ཚང་།,,,,,,
,,224,2,《པེ་》《སྣར་》,བསྟན།,,,,,,
,,225,3,《པེ་》《སྣར་》,བརླབ།,,,,,,
,,226,4,《པེ་》《སྣར་》,pཔས།,,,,,,
,,227,5,《པེ་》《སྣར་》,mཔའི།,,,,,,
,,228,6,《པེ་》《སྣར་》,བརྗོད།,,,,,,
,502,229,1,《སྣར་》,ལ།,,,,,,
,,230,2,《པེ་》《སྣར་》,ཞེས།,,,,,,
,,231,3,《པེ་》,ལས་དངོས་ནི།,《སྣར་》,པས་དངོས་ནི།,,,,,
,,232,4,《པེ་》《སྣར་》,པས།,,,,,,
,,233,5,《པེ་》,རྟོགས།,,,,,,
,,234,6,《པེ་》《སྣར་》,རྒྱུར།,,,,,,
,,235,7,《པེ་》《སྣར་》,བསྐྱེད།,,,,,,
,,236,8,《པེ་》《སྣར་》,འགྱུར་ན།,,,,,,
,,237,9,《པེ་》《སྣར་》,ལའང་།,,,,,,
,,238,10,《པེ་》《སྣར་》,སོར།,,,,,,
,503,239,1,《པེ་》《སྣར་》,ཡི།,,,,,,
,,240,2,《པེ་》《སྣར་》,pཕྱིར།,,,,,,
,,241,3,《པེ་》,རིག,,,,,,
,,242,4,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,243,5,《པེ་》《སྣར་》,རིག,,,,,,
,,244,6,《པེ་》《སྣར་》,པ་འདི།,,,,,,
,,245,7,《པེ་》《སྣར་》,བརྟེན།,,,,,,
,,246,8,《པེ་》《སྣར་》,གྱུར།,,,,,,
,504,247,1,《པེ་》,ནི།,,,,,,
,,248,2,《པེ་》《སྣར་》,གྱིས།,,,,,,
,,249,3,《པེ་》《སྣར་》,བསྐྱེད།,,,,,,
,,250,4,《པེ་》《སྣར་》,པ།,,,,,,
,,251,5,《པེ་》《སྣར་》,བཟློག,,,,,,
,,252,6,《པེ་》,འགྱུར།,,,,,,
,505,253,1,《པེ་》《སྣར་》,པས་ཉམས་འགྱུར།,,,,,,
,,254,2,《པེ་》,བསྐྱེད།,,,,,,
,,255,3,《པེ་》《སྣར་》,བཟློག,,,,,,
,,256,4,《པེ་》《སྣར་》,བྱ།,,,,,,
,,257,5,《པེ་》《སྣར་》,པ།,,,,,,
,,258,6,《པེ་》《སྣར་》,ཉིད།,,,,,,
,,259,7,《པེ་》《སྣར་》,འཇི་བ།,,,,,,
,,260,8,《པེ་》《སྣར་》,བརྟེན།,,,,,,
,506,261,1,《པེ་》《སྣར་》,ཞེ་ན་འདི་བརྟེན།,,,,,,
,,262,2,《པེ་》《སྣར་》,འཇིག,,,,,,
,,263,3,《པེ་》《སྣར་》,བར།,,,,,,
,,264,4,《པེ་》《སྣར་》,པའི་ཕྱིར།,,,,,,
,,265,5,《པེ་》,རྣམ།,,,,,,
,,266,6,《པེ་》《སྣར་》,རྒྱུ།,,,,,,
,,267,7,《པེ་》《སྣར་》,ཡི།,,,,,,
,,268,8,《པེ་》《སྣར་》,རྣམས།,,,,,,
,,269,9,《པེ་》《སྣར་》,བསལ།,,,,,,
,,270,10,《པེ་》《སྣར་》,བརྟེན།,,,,,,
,507,271,1,《པེ་》《སྣར་》,ལས།,,,,,,
,,272,2,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,273,3,《པེ་》《སྣར་》,ལའང་།,,,,,,
,,274,4,《པེ་》《སྣར་》,སེམས།,,,,,,
,508,275,1,《པེ་》《སྣར་》,pསོགས།,,,,,,
,,276,2,《པེ་》《སྣར་》,ཚན།,,,,,,
,,277,3,《པེ་》《སྣར་》,རྟགས།,,,,,,
,,278,4,《པེ་》《སྣར་》,སོགས་པ་འམ།,,,,,,
,,279,5,《པེ་》,རྟགས།,《སྣར་》,བརྟགས།,,,,,
,,280,6,《པེ་》《སྣར་》,བརྟགས།,,,,,,
,509,281,1,《པེ་》《སྣར་》,དག,,,,,,
,,282,2,《པེ་》《སྣར་》,ཤེས།,,,,,,
,,283,3,《སྣར་》,གྱུར།,,,,,,
,,284,4,《སྣར་》,མེད།,,,,,,
,,285,5,《སྣར་》,རིག,,,,,,
,510,286,1,《པེ་》《སྣར་》,རྟོག,,,,,,
,,287,2,《སྣར་》,གིས།,,,,,,
,,288,3,《པེ་》《སྣར་》,ཏེ།,,,,,,
,,289,4,《པེ་》《སྣར་》,ཅན།,,,,,,
