མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།,
,,261,5,《པེ་》《སྣར་》,སྤངས་པ།,,
,356,262,1,《སྣར་》,mསོ།,,
,,263,2,《སྣར་》,ཆག,,
,,264,3,《སྣར་》,pདང་།,,
,,265,4,《པེ་》《སྣར་》,ཅི།,,
,,266,5,《པེ་》《སྣར་》,དེས།,,
,,267,6,《པེ་》《སྣར་》,ན།,,
,,268,7,《པེ་》《སྣར་》,ན།,,
,,269,8,《པེ་》《སྣར་》,གི་རྒྱུ་ལ།, 《ཅོ་》,གིས་རྒྱུད་ལས།,
,,270,9,《སྣར་》,བསམ་པ།,,
,,271,10,《སྣར་》,ཡང་རྣམ།,,
,,272,11,《པེ་》《སྣར་》,ནའོ།,,
,357,273,1,《པེ་》《སྣར་》,བསམ།,,
,,274,2,《པེ་》,བསྒོམ།,,
,,275,3,《པེ་》《སྣར་》,པ་དེའི།,,
,,276,4,《པེ་》《སྣར་》,དེངས།,,
,,277,5,《པེ་》《སྣར་》,ཏེ།,,
,,278,6,《པེ་》《སྣར་》,སྤྱད།,,
,,279,7,《ཅོ་》,mབྱ།,,
,,280,8,《པེ་》《སྣར་》,དེ།,,
,,281,9,《པེ་》,འཐོབ་པོ།, 《སྣར་》,མཐོབ་པ།,
,,282,10,《པེ་》,ལོ།,,
,358,283,1,《ཅོ་》,ནི།,,
,,284,2,《པེ་》《སྣར་》,ལ།,,
,,285,3,《པེ་》《སྣར་》,པ།,,
,,286,4,《པེ་》《སྣར་》,mདང་།,,
,,287,5,《པེ་》,འགོག་པ།, 《སྣར་》,འགག་པ།,
,,288,6,《པེ་》《སྣར་》,པ།,,
,,289,7,《པེ་》《སྣར་》,pཞེས་བྱ་བས་སྙོམས་པར་འཇུག་པ།,,
,,290,8,《པེ་》《སྣར་》,mམི།,,
,359,291,1,《པེ་》《སྣར་》,mཤེས་པ།,,
,,292,2,《པེ་》《སྣར་》,ལ།,,
,,293,3,《ཅོ་》,པའི།,,
,,294,4,《པེ་》《སྣར་》,ཏེ།,,
,,295,5,《སྣར་》,mམི།,,
,,296,6,《པེ་》《སྣར་》,pམ།,,
,360,297,1,《སྣར་》,དེ།,,
,,298,2,《སྣར་》,mནོ།,,
,,299,3,《ཅོ་》,པར།,,
,,300,4,《པེ་》《སྣར་》,mཕྱིར།,,
,,301,5,《ཅོ་》,mམི།,,
,,302,6,《སྣར་》,གྱི།,,
,,303,7,《པེ་》《སྣར་》,pཔ།,,
,,304,8,《པེ་》《སྣར་》,pདེ།,,
,361,305,1,《སྣར་》,སྤངས་བར།,,
,,306,2,《ཅོ་》,སྤངས་པར།,,
,,307,3,《པེ་》《སྣར་》《ཅོ་》,ན།,,
,,308,4,《པེ་》《སྣར་》,པར།,,
,,309,5,《པེ་》《སྣར་》,བརྟེན།,,
,,310,6,《སྣར་》,བ།,,
,,311,7,《པེ་》《སྣར་》,mལ།,,
,,312,8,《པེ་》《སྣར་》,pདང་འབྱུང་བ།,,
,,313,9,《པེ་》《སྣར་》,རྩམ།,,
,,314,10,《ཅོ་》,pཔ།,,
,,315,11,《པེ་》《སྣར་》,ཞེ།,,
,,316,12,《པེ་》《སྣར་》,དང་།,,
,362,317,1,《སྣར་》,སྤྱད།,,
,,318,2,《པེ་》《སྣར་》,ནི།,,
,,319,3,《པེ་》《སྣར་》,pཔ།,,
,,320,4,《པེ་》《སྣར་》,ཏེ།,,
,,321,5,《ཅོ་》,བའི།,,
,,322,6,《སྣར་》,mཔོ།,,
,,323,7,《པེ་》《སྣར་》,pཔ།,,
,,324,8,《པེ་》《སྣར་》,ལྟ།,,
,,325,9,《སྣར་》,སྦྱར།,,
,,326,10,《པེ་》《སྣར་》,མ་ཆགས་པ།,,
,363,327,1,《པེ་》《སྣར་》,རྟག,,
,,328,2,《པེ་》《སྣར་》,འཕགས།,,
,,329,3,《པེ་》《སྣར་》,མ་ཆགས་པ།,,
,,330,4,《པེ་》《སྣར་》,གིས།,,
,,331,5,《ཅོ་》,བརྟེན་ནས།,,
,364,332,1,《སྣར་》,p།། །།,,
,,333,2,《པེ་》《སྣར་》,རྟོག,,
,,334,3,《པེ་》《སྣར་》,བར།,,
,,335,4,《པེ་》《སྣར་》,mདང་།,,
,,336,5,《ཅོ་》,རྣམས།,,
,,337,6,《པེ་》《སྣར་》,pནི།,,
,,338,7,《པེ་》《སྣར་》,pའདུ་བྱེད་ཀྱི་བར་དུ་འགག་པར་འགྱུར། དེ་ལ་ལུས་ཀྱི།,,
,,339,8,《ཅོ་》,གང་།,,
,,340,9,《པེ་》《སྣར་》,འགགས།,,
,,341,10,《པེ་》《སྣར་》,པ།,,
,,342,11,《པེ་》《སྣར་》,པ།,,
,365,343,1,《སྣར་》,རྣམས།,,
,,344,2,《པེ་》《སྣར་》,འཐོབ་པ།, 《ཅོ་》,ཐོབ་པར།,
,,345,3,《པེ་》《སྣར་》,པ།,,
,,346,4,《པེ་》《སྣར་》《ཅོ་》,འཇུག,,
,,347,5,《པེ་》《སྣར་》,pལྟར།,,
,,348,6,《ཅོ་》,རིན།,,
,,349,7,《པེ་》《སྣར་》,ལྟར།,,
,,350,8,《སྣར་》,མ།,,
,,351,9,《སྣར་》,ཀྱིས།,,
,,352,10,《པེ་》《སྣར་》,བྱ་བའི།,,
,366,353,1,《པེ་》《སྣར་》,དེའི།,,
,,354,2,《ཅོ་》,གཅད།,,
,,355,3,《པེ་》,གྱི།,,
,,356,4,《པེ་》《སྣར་》,པའི།,,
,,357,5,《པེ་》《སྣར་》,mདང་།,,
,,358,6,《པེ་》《སྣར་》,ན།,,
,,359,7,《སྣར་》,mངོ་།,,
,,360,8,《ཅོ་》,ལྟར།,,
,,361,9,《པེ་》《སྣར་》,mལས།,,
,,362,10,《སྣར་》,ན།,,
,367,363,1,《པེ་》《སྣར་》,པས།,,
,,364,2,《པེ་》《སྣར་》,དེ།,,
,,365,3,《ཅོ་》,པའི།,,
,,366,4,《པེ་》《སྣར་》,mཀུན།,,
,,367,5,《པེ་》《སྣར་》,ལས།,,
,,368,6,《སྣར་》,གྱུར།,,
,,369,7,《པེ་》《སྣར་》,ལ།,,
,368,370,1,《སྣར་》,འཔེན།,,
,,371,2,《ཅོ་》,འབྱུང་།,,
,,372,3,《པེ་》,འགག,,
,,373,4,《པེ་》《སྣར་》,བཟུང་།,,
,,374,5,《པེ་》《སྣར་》,འགྲུབ།,,
,,375,6,《སྣར་》,པར།, 《ཅོ་》,པ་ཤེས་རབ།,
,,376,7,《པེ་》《སྣར་》,pགང་།,,
,,377,8,《པེ་》《སྣར་》,བརྟེན།,,
,,378,9,《པེ་》《སྣར་》,འཇིགས།,,
,,379,10,《སྣར་》,གཟུང་།,,
,,380,11,《པེ་》《སྣར་》,pགྱི།,,
,369,381,1,《སྣར་》,སོར།,,
,,382,2,《པེ་》《སྣར་》,mཀྱི།,,
,,383,3,《ཅོ་》,སྤྱོད།,,
,,384,4,《པེ་》《སྣར་》,གི།,,
,,385,5,《པེ་》《སྣར་》,བྱུང་བ།,,
,,386,6,《ཅོ་》,པའི།,,
,370,387,1,《ཅོ་》,པའི།,,
,,388,2,《པེ་》《སྣར་》,ནི།,,
,,389,3,《པེ་》《སྣར་》,དེའི།,,
,,390,4,《སྣར་》,ནི།,,
,,391,5,《པེ་》《སྣར་》,ན།,,
,,392,6,《པེ་》《སྣར་》,pམ།,,
,,393,7,《པེ་》《སྣར་》,སྐྱེས་པའི།,,
,,394,8,《པེ་》《སྣར་》,པ།,,
,,395,9,《ཅོ་》,བའི།,,
,372,396,1,《པེ་》《སྣར་》,mནི།,,
,,397,2,《པེ་》《སྣར་》,བརྟགས།,,
,,398,3,《པེ་》《སྣར་》,དེ།,,
,,399,4,《པེ་》《སྣར་》,བཟུང་།,,
,,400,5,《པེ་》《སྣར་》,pཔར་རིག,,
,373,401,1,《པེ་》《སྣར་》,དེ་ལས།,,
,,402,2,《པེ་》《སྣར་》,ངོ་།,,
,,403,3,《སྣར་》,བུ།,,
,,404,4,《པེ་》《སྣར་》,བསམ།,,
,,405,5,《པེ་》《སྣར་》,བསམ།,,
,,406,6,《པེ་》《སྣར་》,mཏེ།,,
,374,407,1,《སྣར་》,བརྟེན།,,
,,408,2,《པེ་》《སྣར་》,པའི།,,
,,409,3,《པེ་》《སྣར་》,འཇུག་པའོ།,,
,,410,4,《པེ་》《སྣར་》,pཡང་།,,
,,411,5,《པེ་》《སྣར་》,སྙེད།,,
,,412,6,《པེ་》《སྣར་》,པའོ།,,
,375,413,1,《པེ་》《སྣར་》,གྱིས།,,
,,414,2,《པེ་》《སྣར་》,mཔར།,,
,,415,3,《པེ་》《སྣར་》,pདེའི།,,
,,416,4,《པེ་》《སྣར་》,mལྟར།,,
,,417,5,《པེ་》《སྣར་》,mདག,,
,,418,6,《པེ་》《སྣར་》,pལ།,,
,,419,7,《པེ་》《སྣར་》,ག,,
,376,420,1,《སྣར་》,pབ།,,
,,421,2,《པེ་》《སྣར་》,ཤེས།,,
,,422,3,《པེ་》《སྣར་》,mཀྱི།,,
,,423,4,《པེ་》《སྣར་》,རྟེན།,,
,,424,5,《པེ་》《སྣར་》,ཐོབ།,,
,,425,6,《པེ་》《སྣར་》,འབྱུང་།,,
,,426,7,《པེ་》《སྣར་》,ཀྱི།,,
,,427,8,《པེ་》《སྣར་》,དེའི།,,
,,428,9,《པེ་》《སྣར་》,པར།,,
,,429,10,《སྣར་》,དེ།,,
,377,430,1,《པེ་》《སྣར་》,mལྟར།,,
,,431,2,《པེ་》《སྣར་》,རྟེན།,,
,,432,3,《སྣར་》,རྟེན།,,
,,433,4,《པེ་》《སྣར་》,བར།,,
,,434,5,《པེ་》《སྣར་》,པས།,,
,378,435,1,《པེ་》《སྣར་》,རྟོན།,,
,,436,2,《པེ་》《སྣར་》,གཡེངས་པར།,,
,,437,3,《པེ་》《སྣར་》,ཤེས།,,
,,438,4,《པེ་》《སྣར་》,pབརྟེན།,,
,,439,5,《པེ་》《སྣར་》,རིག,,
,,440,6,《སྣར་》,mབའི།,,
,379,441,1,《པེ་》《སྣར་》,པ།,,
,,442,2,《པེ་》,mཔ།,,
,,443,3,《པེ་》《སྣར་》,པ།,,
,,444,4,《པེ་》《སྣར་》,ཤེས།,,
,,445,5,《པེ་》《སྣར་》,པ།,,
,,446,6,《སྣར་》,པོ།,,
,,447,7,《པེ་》《སྣར་》,ན།,,
,,448,8,《པེ་》《སྣར་》,དཔྱོད།,,
,,449,9,《སྣར་》,རྣན།,,
,380,450,1,《པེ་》《ཅོ་》,ཏེ།,,
,,451,2,《པེ་》《སྣར་》,བཟུང་།,,
,,452,3,《པེ་》《སྣར་》,mདོན།,,
,,453,4,《པེ་》《སྣར་》,དེ།,,
,381,454,1,《པེ་》《སྣར་》,mལ།,,
,,455,2,《པེ་》,mའདི་ནི།,,
,,456,3,《པེ་》《སྣར་》,pཇི་ལྟར།,,
,,457,4,《པེ་》《སྣར་》,ནི།,,
,,458,5,《པེ་》《སྣར་》,དོ།,,
,,459,6,《སྣར་》,རྣན།,,
,,460,7,《པེ་》《སྣར་》,པ།,,
,382,461,1,《སྣར་》,རྟགས།,,
,,462,2,《ཅོ་》,mབའི།,,
,,463,3,《སྣར་》,པ།,,
,,464,4,《པེ་》《སྣར་》,རྟོག,,
,,465,5,《པེ་》《སྣར་》,གིས།,,
,,466,6,《སྣར་》,རྗོད་པས།,,
,383,467,1,《པེ་》《སྣར་》,གྱི།,,
,,468,2,《པེ་》《སྣར་》,རྟོག,,
,,469,3,《པེ་》《སྣར་》,pགྱི།,,
,,470,4,《པེ་》《སྣར་》,སོགས།,,
,,471,5,《པེ་》《སྣར་》,པ།,,
,,472,6,《པེ་》《སྣར་》,སོགས།,,
,,473,7,《པེ་》《སྣར་》,སོགས།,,
,,474,8,《པེ་》《སྣར་》,mདང་།,,
,384,475,1,《པེ་》《སྣར་》,mཞེས་བྱ་བ།,,
,,476,2,《པེ་》《སྣར་》,སོགས།,,
,,477,3,《པེ་》《སྣར་》,སོགས།,,
,,478,4,《པེ་》《སྣར་》,པ།,,
,,479,5,《པེ་》《སྣར་》,mདག་པ།,,
,,480,6,《པེ་》《སྣར་》,mབྱ་བ།,,
,,481,7,《པེ་》《སྣར་》,ཉན།,,
,,482,8,《པེ་》《སྣར་》,ཀྱི།,,
,,483,9,《པེ་》《སྣར་》,མཉན།,,
,,484,10,《པེ་》《སྣར་》,pཔ།,,
,385,485,1,《སྣར་》,པར་ཅུ།,,
