མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
,,245,5,《པེ་》《སྣར་》,སོ།,
,683,246,1,《པེ་》《སྣར་》,སོ།,
,,247,2,《པེ་》《སྣར་》,pསྔོན་གྱི།,
,,248,3,《པེ་》《སྣར་》,གི།,
,,249,4,《པེ་》《སྣར་》,mཔ།,
,,250,5,《པེ་》《སྣར་》,ཏེ།,
,,251,6,《པེ་》《སྣར་》,pཔའི་སྒོ་མཚན་མ་མེད།,
,,252,7,《པེ་》《སྣར་》,pགཤེགས་པ།,
,,253,8,《པེ་》《སྣར་》,ཐབས་ཅད་ཀྱི།,
,684,254,1,《སྣར་》,གྱུར་པས།,
,,255,2,《པེ་》《སྣར་》,བཙལ།,
,,256,3,《པེ་》《སྣར་》,གྱུར།,
,685,257,1,《པེ་》《སྣར་》,སྒྲུབ།,
,,258,2,《པེ་》《སྣར་》,ཐོབ།,
,,259,3,《པེ་》《སྣར་》,པར།,
,,260,4,《པེ་》《སྣར་》,mསེམས་ཅན།,
,,261,5,《པེ་》《སྣར་》,དཔས།,
,,262,6,《པེ་》《སྣར་》,mརངས་པར།,
,,263,7,《པེ་》《སྣར་》,ཀྱི།,
,,264,8,《པེ་》《སྣར་》,ཉེ་བར་མི་འགྲོ།,
,,265,9,《པེ་》《སྣར་》,ཉེ་བར་མི་འགྲོ།,
,,266,10,《པེ་》《སྣར་》,གྱི།,
,,267,11,《པེ་》《སྣར་》,གི།,
,686,268,1,《པེ་》《སྣར་》,mདུ།,
,,269,2,《པེ་》《སྣར་》,གིས།,
,,270,3,《པེ་》《སྣར་》,བའི།,
,,271,4,《པེ་》《སྣར་》,རྟོགས།,
,687,272,1,《པེ་》《སྣར་》,གྱིས་ལྷག་པས་ས།,
,,273,2,《པེ་》《སྣར་》,pམི།,
,,274,3,《སྣར་》,mབ།,
,,275,4,《པེ་》《སྣར་》,mཀྱི།,
,,276,5,《པེ་》《སྣར་》,བསྲུང་།,
,,277,6,《པེ་》《སྣར་》,པས།,
,688,278,1,《པེ་》《སྣར་》,སྤྱད།,
,,279,2,《པེ་》《སྣར་》,pབཅུ།,
,,280,3,《པེ་》《སྣར་》,mསྤྱོད།,
,,281,4,《པེ་》《སྣར་》,pདག,
,,282,5,《པེ་》《སྣར་》,mཐམས་ཅད།,
,,283,6,《པེ་》《སྣར་》,རི་མོ་བྱ་བ།,
,689,284,1,《པེ་》《སྣར་》,mདང་།,
,,285,2,《པེ་》《སྣར་》,གནོན།,
,,286,3,《པེ་》《སྣར་》,mམི།,
,,287,4,《པེ་》《སྣར་》,mལ།,
,,288,5,《པེ་》《སྣར་》,སྐྱེད།,
,,289,6,《པེ་》《སྣར་》,mདག,
,,290,7,《པེ་》《སྣར་》,ནི།,
,,291,8,《པེ་》《སྣར་》,འགྲུས།,
,,292,9,《པེ་》《སྣར་》,འབད་པ་བྱས་ན།,
,,293,10,《པེ་》《སྣར་》,mལས།,
,,294,11,《པེ་》《སྣར་》,པ་ལས།,
,,295,12,《པེ་》《སྣར་》,pརྣམས།,
,,296,13,《པེ་》《སྣར་》,pརོ། །,
,690,297,1,《སྣར་》,དེ།,
,,298,2,《པེ་》《སྣར་》,དཔེར་ན།,
,,299,3,《པེ་》《སྣར་》,mརྣམས།,
,,300,4,《པེ་》《སྣར་》,བཞིན་ཏེ།,
,,301,5,《པེ་》《སྣར་》,གང་དྲང་བའམ།,
,,302,6,《པེ་》《སྣར་》,བཙལ།,
,,303,7,《པེ་》《སྣར་》,པའི།,
,,304,8,《པེ་》《སྣར་》,mན།,
,,305,9,《པེ་》《སྣར་》,རྟ་པའི།,
,,306,10,《སྣར་》,བདག,
,691,307,1,《སྣར་》,འགལ་བ།,
,,308,2,《པེ་》《སྣར་》,བྱུང་།,
,,309,3,《པེ་》《སྣར་》,བྱང་བ།,
,,310,4,《པེ་》《སྣར་》,mབ།,
,692,311,1,《པེ་》《སྣར་》,སོ།,
,,312,2,《པེ་》《སྣར་》,གྱུར་པ།,
,,313,3,《པེ་》《སྣར་》,mཀྱང་།,
,,314,4,《པེ་》《སྣར་》,mརྣམས།,
,,315,5,《པེ་》《སྣར་》,mནི།,
,,316,6,《པེ་》《སྣར་》,mདག,
,,317,7,《སྣར་》,mནོ།,
,693,318,1,《པེ་》《སྣར་》,pདག,
,,319,2,《པེ་》《སྣར་》,mདག,
,,320,3,《པེ་》《སྣར་》,ཀྱི།,
,,321,4,《པེ་》《སྣར་》,པ་བྱས་པ།,
,,322,5,《པེ་》《སྣར་》,pཔ།,
,,323,6,《སྣར་》,སྒྲུབས།,
,,324,7,《པེ་》《སྣར་》,པར་འགྱུར་རོ།,
,,325,8,《པེ་》《སྣར་》,mཡེ་ཤེས།,
,,326,9,《པེ་》《སྣར་》,mསྐྱེ་བ་ཕྲ་བ་ལ་འཇུག་པའི་མཁྱེན་པ་དང་།,
,,327,10,《པེ་》《སྣར་》,mཕྲ་བ།,
,694,328,1,《པེ་》《སྣར་》,pདེ་ལ།,
,,329,2,《པེ་》《སྣར་》,སྤྱད།,
,,330,3,《པེ་》《སྣར་》,སྟེ།,
,,331,4,《པེ་》《སྣར་》,ཀྱི།,
,,332,5,《པེ་》《སྣར་》,སྦྱངས།,
,,333,6,《པེ་》《སྣར་》,pདབྱིངས་ཀྱི།,
,695,334,1,《པེ་》《སྣར་》,ཀྱིས།,
,,335,2,《པེ་》《སྣར་》,པའི།,
,,336,3,《སྣར་》,བྱུང་བའི།,
,,337,4,《པེ་》《སྣར་》,གྱིས།,
,,338,5,《པེ་》《སྣར་》,པོ་ཆེན་པོའི་པདྨའི།,
,,339,6,《པེ་》《སྣར་》,གྱིས།,
,,340,7,《པེ་》《སྣར་》,pནས།,
,,341,8,《པེ་》《སྣར་》,pགང་དག་ཡིན་པ།,
,696,342,1,《པེ་》《སྣར་》,གཟུངས།,
,,343,2,《པེ་》《སྣར་》,གྱིས།,
,,344,3,《སྣར་》,པའི།,
,,345,4,《པེ་》《སྣར་》,གྱིས།,
,,346,5,《པེ་》《སྣར་》,mམི།,
,,347,6,《པེ་》《སྣར་》,པ།,
,,348,7,《པེ་》《སྣར་》,པ།,
,,349,8,《པེ་》《སྣར་》,པས།,
