མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་གྲངས།,མཆན།
,1469,317,1,《པེ་》《སྣར་》,mགྱི་ཁྱད་པར་ཡང་མི་འགྱུར་རོ། །དེ་ཡང་།
,,318,2,《པེ་》《སྣར་》,སྐྱེད་པ་ལས།
,,319,3,《པེ་》《སྣར་》,གསལ།
,,320,4,《སྣར་》,པོར།
,,321,5,《པེ་》《སྣར་》,བའི་རྒྱུན།
,,322,6,《པེ་》《སྣར་》,པར།
,,323,7,《པེ་》《སྣར་》,mཀྱི།
,,324,8,《པེ་》《སྣར་》,ཀྱི།
,,325,9,《པེ་》《སྣར་》,སྦྱོར་བའོ།
,,326,10,《པེ་》《སྣར་》,ཞེས་པ་ནི།
,,327,11,《པེ་》《སྣར་》,mནི།
,,328,12,《པེ་》《སྣར་》,ཀྱིས།
,1470,329,1,《པེ་》《སྣར་》,ཀྱིས།
,,330,2,《པེ་》《སྣར་》,འདོད་པ།
,,331,3,《པེ་》《སྣར་》,སྦྱང་།
,,332,4,《པེ་》《སྣར་》,mམི་སྡུག་པ།
,,333,5,《པེ་》《སྣར་》,བསྒོམས་པའོ་ཞེས་པའོ།
,,334,6,《པེ་》《སྣར་》,ཀྱིས།
,,335,7,《པེ་》《སྣར་》,པའི།
,,336,8,《པེ་》《སྣར་》,བྱའོ།
,,337,9,《པེ་》《སྣར་》,བགྱི་ཞེས།
,1471,338,1,《པེ་》《སྣར་》,ནི།
,,339,2,《པེ་》《སྣར་》,དོ།།
,,340,3,《པེ་》《སྣར་》,བྱ་བའོ།
,,341,4,《པེ་》《སྣར་》,བཅིངས་པས།
,,342,5,《པེ་》《སྣར་》,ཀྱིས།
,,343,6,《པེ་》《སྣར་》,དོ།།
,1472,344,1,《པེ་》《སྣར་》,མཚོའི་སྤྱད།
,,345,2,《པེ་》《སྣར་》,བ།
,,346,3,《པེ་》《སྣར་》,ཡིད།
,,347,4,《པེ་》《སྣར་》,pདུ།
,,348,5,《པེ་》《སྣར་》,པའི།
,,349,6,《པེ་》《སྣར་》,དག་གི།
,,350,7,《པེ་》《སྣར་》,ཤེས།
,,351,8,《པེ་》《སྣར་》,mཔ།
,,352,9,《པེ་》《སྣར་》,mགང་།
,,353,10,《པེ་》《སྣར་》,pསོགས་པ་ལ།
,,354,11,《པེ་》《སྣར་》,བསྡུ།
,1473,355,1,《པེ་》,དཔའི།
,,356,2,《པེ་》《སྣར་》,mབྱ་བ།
,,357,3,《པེ་》《སྣར་》,ཀྱི།
,,358,4,《པེ་》《སྣར་》,མི།
,,359,5,《པེ་》《སྣར་》,ཀྱིས།
,,360,6,《པེ་》《སྣར་》,པའོ།
,,361,7,《པེ་》《སྣར་》,ཀྱིས།
,1474,362,1,《པེ་》《སྣར་》,པ།
,,363,2,《པེ་》《སྣར་》,རྣམས།
,,364,3,《པེ་》《སྣར་》,པ།
,,365,4,《པེ་》《སྣར་》,mཁམས།
,1475,366,1,《པེ་》《སྣར་》,བཟུང་།
,,367,2,《པེ་》《སྣར་》,བཅུ།
,,368,3,《པེ་》《སྣར་》,པ།
,,369,4,《པེ་》《སྣར་》,པར།
,,370,5,《པེ་》《སྣར་》,པར།
,1476,371,1,《པེ་》《སྣར་》,པོ་ལའོ།
,,372,2,《པེ་》《སྣར་》,སྔོན་པས།
,,373,3,《པེ་》《སྣར་》,དྲུག
,,374,4,《པེ་》《སྣར་》,ལྟ།
,,375,5,《པེ་》《སྣར་》,པ།
,,376,6,《པེ་》《སྣར་》,mའདི།
,,377,7,《པེ་》《སྣར་》,ཡང་།
