མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ,མཆན།,
,,239,2,《པེ་》《སྣར་》,ནི།,
,,240,3,《ཅོ་》,mབ།,
,,241,4,《པེ་》《སྣར་》,ཆེ།,
,,242,5,《ཅོ་》,pབ་བྱ་བ་བ།,
,,243,6,《པེ་》《སྣར་》,པས།,
,498,244,1,《པེ་》《སྣར་》,སྐྱེད།,
,,245,2,《པེ་》《སྣར་》,པ་ལྟ།,
,,246,3,《སྣར་》,དཀྲི།,
,,247,4,《པེ་》《སྣར་》,pན།,
,,248,5,《པེ་》,ལོང་།,
,,249,6,《པེ་》《སྣར་》,pརྣམས།,
,,250,7,《པེ་》《སྣར་》,ལ།,
,,251,8,《སྣར་》,དཀྲི།,
,,252,9,《པེ་》《སྣར་》,ད་འདིར།,
,,253,10,《པེ་》《སྣར་》,ཅིའི།,
,,254,11,《པེ་》《སྣར་》,ཟའི།,
,,255,12,《པེ་》《སྣར་》,pགྱི།,
,,256,13,《པེ་》《སྣར་》,pགི།,
,,257,14,《པེ་》《སྣར་》,པོའི།,
,,258,15,《པེ་》《སྣར་》,ལྷག,
,,259,16,《པེ་》《སྣར་》,ས།,
,,260,17,《པེ་》《སྣར་》,རྟོག,
,499,261,1,《པེ་》《སྣར་》,གི།,
,,262,2,《པེ་》《སྣར་》,དེ་དག,
,,263,3,《པེ་》,pསངས་རྒྱས་ཀྱི་འཁོར་མ་སྨོས་པ་ནི།,
,,264,4,《པེ་》,ཀྱི།,
,,265,5,《པེ་》《སྣར་》,ཀྱི།,
,,266,6,《པེ་》,གྱིས་བརླབས་ཀྱིས།,《སྣར་》,གྱི་བརླབས་ཀྱི།
,,267,7,《པེ་》《སྣར་》,pའཁོར།,
,,268,8,《པེ་》《སྣར་》,དཔའ་བས།,
,,269,9,《པེ་》《སྣར་》,ཞམ།,
,,270,10,《པེ་》《སྣར་》,mཕྱིར།,
,500,271,1,《པེ་》《སྣར་》,པའི།,
,,272,2,《པེ་》《སྣར་》,དཔའི།,
,,273,3,《པེ་》《སྣར་》,mགི།,
,,274,4,《པེ་》《སྣར་》,གྱི།,
,,275,5,《པེ་》,ཀྱི་བསྐོར་ཏེ།,《སྣར་》,ཀྱི་བསྐོར་ཏོ།
