མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།,,,,,
,,271,3,《པེ་》《སྣར་》,mགནོད་པར་བྱ་བ་དང་།,,,,,,
,,272,4,《པེ་》,མཇུག,,,,,,
,,273,5,《ཅོ་》,བ།,,,,,,
,,274,6,《པེ་》《སྣར་》,mགྱིས།,,,,,,
,,275,7,《པེ་》《སྣར་》,པས།,,,,,,
,,276,8,《པེ་》《སྣར་》,mངོ་བོ།,,,,,,
,,277,9,《པེ་》《སྣར་》,mདེ།,,,,,,
,,278,10,《པེ་》,ནོ།,,,,,,
,,279,11,《པེ་》《སྣར་》,བརྟེན།,,,,,,
,,280,12,《པེ་》《སྣར་》,མཉན་པ།,,,,,,
,,281,13,《པེ་》《སྣར་》,བརྟེན།,,,,,,
,,282,14,《པེ་》《སྣར་》,mདུ།,,,,,,
,937,283,1,《པེ་》《སྣར་》,mན།,,,,,,
,,284,2,《པེ་》《སྣར་》,ཡིན།,,,,,,
,,285,3,《པེ་》《སྣར་》,pདང་།,,,,,,
,,286,4,《པེ་》《སྣར་》,ནས།,,,,,,
,,287,5,《པེ་》《སྣར་》,བའི་དེ་ཁྱད་པར་གཅིག་གིས།,,,,,,
,,288,6,《སྣར་》,བཟུང་།,,,,,,
,,289,7,《པེ་》《སྣར་》,pདུ།,,,,,,
,,290,8,《པེ་》《སྣར་》,mདེ།,,,,,,
,,291,9,《སྣར་》,གཟུགས་ནི།,,,,,,
,,292,10,《པེ་》《སྣར་》,རྗེས།,,,,,,
,,293,11,《པེ་》《སྣར་》,ན།,,,,,,
,938,294,1,《པེ་》《སྣར་》,pནི།,,,,,,
,,295,2,《པེ་》《སྣར་》,རྣམས།,,,,,,
,,296,3,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,297,4,《པེ་》《སྣར་》,དག,,,,,,
,,298,5,《པེ་》《སྣར་》,mདེ།,,,,,,
,,299,6,《པེ་》《སྣར་》,པ།,,,,,,
,,300,7,《པེ་》《སྣར་》,དོན།,,,,,,
,,301,8,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,302,9,《པེ་》《སྣར་》,pཔ།,,,,,,
,939,303,1,《ཅོ་》,མཚན།,,,,,,
,,304,2,《པེ་》《སྣར་》,mམེད་པའི།,,,,,,
,,305,3,《པེ་》《སྣར་》,mམཚོན་པར།,,,,,,
,,306,4,《པེ་》《སྣར་》,mངེས་པར།,,,,,,
,,307,5,《པེ་》《སྣར་》,བཟུང་།,,,,,,
,,308,6,《པེ་》《སྣར་》,བཟུང་།,,,,,,
,,309,7,《པེ་》《སྣར་》,དོ།།,,,,,,
,,310,8,《པེ་》《སྣར་》,མེད།,,,,,,
,,311,9,《པེ་》《སྣར་》,གྲུབ།,,,,,,
,940,312,1,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,313,2,《པེ་》《སྣར་》,mངེས་པ།,,,,,,
,,314,3,《པེ་》《སྣར་》,པས།,,,,,,
,,315,4,《པེ་》《སྣར་》,ལས།,,,,,,
,,316,5,《པེ་》《སྣར་》,བའང་།,,,,,,
,,317,6,《པེ་》《སྣར་》,mདོ།,,,,,,
,,318,7,《པེ་》《སྣར་》,མྱགས་པ།,,,,,,
,941,319,1,《པེ་》《སྣར་》,mཉེ།,,,,,,
,,320,2,《པེ་》《སྣར་》,གིས།,,,,,,
,,321,3,《པེ་》《སྣར་》,mམི།,,,,,,
,,322,4,《པེ་》《སྣར་》,ངེས།,,,,,,
,,323,5,《པེ་》《སྣར་》,ལོགས།,,,,,,
,,324,6,《པེ་》《སྣར་》,དང་།,,,,,,
,,325,7,《པེ་》《སྣར་》,pནོ།,,,,,,
,,326,8,《པེ་》《སྣར་》,mརྒྱུ།,,,,,,
,,327,9,《པེ་》《སྣར་》,pནི།,,,,,,
,,328,10,《པེ་》,ལས།,,,,,,
,,329,11,《པེ་》《སྣར་》,རྟོག,,,,,,
,,330,12,《པེ་》《སྣར་》,པར།,,,,,,
,942,331,1,《ཅོ་》,པར།,,,,,,
,,332,2,《པེ་》《སྣར་》,ཏེ།,,,,,,
,,333,3,《པེ་》《སྣར་》,སྤོངས་པ།,,,,,,
,,334,4,《པེ་》《སྣར་》,pཔ།,,,,,,
,,335,5,《པེ་》《སྣར་》,བུ།,,,,,,
,,336,6,《པེ་》《སྣར་》,བཅངས།,,,,,,
,,337,7,《པེ་》《སྣར་》,གཅད།,,,,,,
,,338,8,《པེ་》《སྣར་》,གྱི།,,,,,,
,,339,9,《པེ་》《སྣར་》,པར་བཅད།,,,,,,
