མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།
,,273,7,《པེ་》《སྣར་》,ལོག་མ།
,,274,8,《པེ་》《སྣར་》,དོ།
,,275,9,《པེ་》《སྣར་》,འགྱུར་བཞིན།
,,276,10,《པེ་》《སྣར་》,དོ།
,,277,11,《པེ་》《སྣར་》,ལའང་།
,,278,12,《པེ་》《སྣར་》,དོ།
,,279,13,《པེ་》《སྣར་》,བསྐྱེད་དེ།
,35,280,1,《པེ་》《སྣར་》,འགགས།
,,281,2,《པེ་》《སྣར་》,འགྱུར།
,,282,3,《པེ་》《སྣར་》,pགང་དག་ལ་ལའི་ཉོན་མོངས་པ།།
,,283,4,《པེ་》《སྣར་》,སྤང་།
,,284,5,《པེ་》《སྣར་》,བསྒོམ།
,36,285,1,《པེ་》《སྣར་》,དང་།
,,286,2,《པེ་》《སྣར་》,གྱིས།
,,287,3,《པེ་》《སྣར་》,ཉིད་ཀྱིས།
,,288,4,《པེ་》《སྣར་》,དག་རྣམས།
,,289,5,《པེ་》《སྣར་》,ལྟ།
,,290,6,《པེ་》《སྣར་》,བྱེད།
,,291,7,《པེ་》《སྣར་》,བཟུང་།
,,292,8,《པེ་》《སྣར་》,རིགས།
,,293,9,《པེ་》《སྣར་》,བསྒྲུབ།
,,294,10,《པེ་》《སྣར་》,ན།
,,295,11,《པེ་》《སྣར་》,མི་རུང་།
,,296,12,《པེ་》《སྣར་》,ཉིད།
,,297,13,《པེ་》《སྣར་》,བལྟ།
,,298,14,《པེ་》《སྣར་》,བལྟའོ།
,37,299,1,《པེ་》《སྣར་》,འབྱུང་གང་ཡིན་པ།
,,300,2,《པེ་》《སྣར་》,བརྟེན།
,,301,3,《པེ་》《སྣར་》,ལས།
,,302,4,《པེ་》《སྣར་》,ལ།
,,303,5,《པེ་》《སྣར་》,ཉིད།
,,304,6,《པེ་》《སྣར་》,པ།
,,305,7,《པེ་》《སྣར་》,བསྒོམ།
,,306,8,《པེ་》《སྣར་》,ཇི།
,,307,9,《པེ་》《སྣར་》,གྱིས།
,,308,10,《པེ་》《སྣར་》,འཐོབ།
,,309,11,《སྣར་》,ད།
,,310,12,《པེ་》《སྣར་》,ཀྱིས།
,38,311,1,《པེ་》《སྣར་》,ཏེ།
,,312,2,《པེ་》《སྣར་》,ཐོབ།
,,313,3,《སྣར་》,ཀྱི།
,,314,4,《པེ་》《སྣར་》,ཀྱིས།
,,315,5,《པེ་》《སྣར་》,བཙལ།
,,316,6,《པེ་》《སྣར་》,རོ།
,,317,7,《པེ་》《སྣར་》,རྒྱུས།
,,318,8,《པེ་》《སྣར་》,ལའང་།
,,319,9,《པེ་》,པར།
,,320,10,6《པེ་》,ཐར།
,39,321,1,《པེ་》《སྣར་》,དེས།
,,322,2,《པེ་》《སྣར་》,འགག 
,,323,3,《པེ་》《སྣར་》,འགག 
,,324,4,《པེ་》,ཆག
,,325,5,《པེ་》《སྣར་》,འདོད།
