མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
སྒྲ་མདོ། རེ།,1037,2,1,《པེ་》《སྣར་》,རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ་སདྷི་བྷ་དྲས་མཛད་པ།,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,75,22,《པེ་》《སྣར་》,ཛྷལྲ་ལ་ཨེཏྲའོ།།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,76,23,《པེ་》《སྣར་》,ཨོསྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,77,24,《པེ་》《སྣར་》,ཨེཙྲའི།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,78,25,《སྣར་》,ཐའོ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,79,26,《པེ་》《སྣར་》,ཨཱཔྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,80,27,《པེ་》《སྣར་》,ནུཊྲའོ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,81,28,《པེ་》《སྣར་》,ན།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,82,29,《པེ་》《སྣར་》,དུ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,83,30,《སྣར་》,ནཊ་ཀིཏྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1041,84,1,《པེ་》《སྣར་》,ནཱམྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,85,2,《པེ་》《སྣར་》,སནྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,86,3,《པེ་》《སྣར་》,ཤ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,87,4,《པེ་》《སྣར་》,གྷསྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,88,5,《པེ་》《སྣར་》,ཀྱིས་སའིའོ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,89,6,《པེ་》《སྣར་》,ཨེངྲ་།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,90,7,《པེ་》《སྣར་》,ཨཏྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,91,8,《པེ་》《སྣར་》,བཅད།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,92,9,《པེ་》《སྣར་》,བྲྀཀྵཻཿ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,93,10,《སྣར་》,བྲིཀྵ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,94,11,《པེ་》《སྣར་》,བཅད།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,95,12,《པེ་》《སྣར་》,ཨཙྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,96,13,《པེ་》《སྣར་》,ཛསྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,97,14,《པེ་》《སྣར་》,ཨེཙྲའི།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,98,15,《པེ་》《སྣར་》,རོ། །ཨམྲ།,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
