མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།,,,,,
,464,143,1,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,144,2,《པེ་》,བསྒྲུབ།,《སྣར་》,སྒྲུབ།,,,,,
,,145,3,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,146,4,《པེ་》《སྣར་》,ལ།,,,,,,
,,147,5,《པེ་》《སྣར་》,ལྟར།,,,,,,
,465,148,1,《པེ་》《སྣར་》,བསྐྱེད།,,,,,,
,,149,2,《པེ་》《སྣར་》,བརྟག,,,,,,
,,150,3,《པེ་》《སྣར་》,pཤིག,,,,,,
,,151,4,《པེ་》《སྣར་》,བརྟག,,,,,,
,,152,5,《པེ་》《སྣར་》,བར།,,,,,,
,,153,6,《པེ་》《སྣར་》,ལས་བལྟོས།,,,,,,
,,154,7,《པེ་》《སྣར་》,mཞེ།,,,,,,
,,155,8,《པེ་》《སྣར་》,བསམ།,,,,,,
,466,156,1,《པེ་》《སྣར་》,པ།,,,,,,
,,157,2,《པེ་》《སྣར་》,པ།,,,,,,
,,158,3,《པེ་》《སྣར་》,ན།,,,,,,
,,159,4,《པེ་》《སྣར་》,ན།,,,,,,
,,160,5,《པེ་》《སྣར་》,པས།,,,,,,
,,161,6,《པེ་》《སྣར་》,བརྟག,,,,,,
,,162,7,《པེ་》《སྣར་》,mཔ།,,,,,,
,,163,8,《པེ་》《སྣར་》,གི།,,,,,,
,,164,9,《པེ་》《སྣར་》,བརྟག,,,,,,
,,165,10,《པེ་》《སྣར་》,pསྤུན།,,,,,,
,,166,11,《པེ་》《སྣར་》,དེ།,,,,,,
,,167,12,《པེ་》《སྣར་》,ཐགས།,,,,,,
,,168,13,《པེ་》《སྣར་》,ཐགས་ཀྱི།,,,,,,
,,169,14,《པེ་》《སྣར་》,དེའི།,,,,,,
,,170,15,《པེ་》《སྣར་》,pདེ།,,,,,,
,467,171,1,《པེ་》《སྣར་》,དེ།,,,,,,
,,172,2,《པེ་》《སྣར་》,ལ།,,,,,,
,,173,3,《པེ་》《སྣར་》,སྐྱང་།,,,,,,
,,174,4,《པེ་》《སྣར་》,དེ།,,,,,,
,,175,5,《པེ་》《སྣར་》,ལས་བལྟོས།,,,,,,
,,176,6,《པེ་》《སྣར་》,དུ་ནི།,,,,,,
,468,177,1,《པེ་》《སྣར་》,གྱི།,,,,,,
,,178,2,《པེ་》,mདེ།,,,,,,
,,179,3,《པེ་》《སྣར་》,ཇི།,,,,,,
,,180,4,《པེ་》《སྣར་》,དེ།,,,,,,
,,181,5,《པེ་》《སྣར་》,ཏེ།,,,,,,
,469,182,1,《པེ་》《སྣར་》,mདེ།,,,,,,
,,183,2,《པེ་》《སྣར་》,pཡང་།,,,,,,
,,184,3,《པེ་》《སྣར་》,ལྟར།,,,,,,
,,185,4,《པེ་》《སྣར་》,དེ།,,,,,,
,,186,5,《པེ་》《སྣར་》,པ།,,,,,,
,,187,6,《པེ་》《སྣར་》,པ།,,,,,,
,,188,7,《པེ་》《སྣར་》,pརོ།,,,,,,
,470,189,1,《པེ་》《སྣར་》,གཉི་ག,,,,,,
,,190,2,《པེ་》《སྣར་》,pབར།,,,,,,
,,191,3,《པེ་》《སྣར་》,བརྟག,,,,,,
,,192,4,《པེ་》《སྣར་》,དེ།,,,,,,
,,193,5,《པེ་》《སྣར་》,གྱུར།,,,,,,
,,194,6,《པེ་》《སྣར་》,གྱུར།,,,,,,
,,195,7,《པེ་》《སྣར་》,གྱུར།,,,,,,
,471,196,1,《པེ་》《སྣར་》,རྟེན།,,,,,,
,,197,2,《པེ་》《སྣར་》,སྨྲའི།,,,,,,
,,198,3,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,472,199,1,《པེ་》《སྣར་》,འགྲོའོ།,,,,,,
,,200,2,《པེ་》《སྣར་》,ཕྱིར།,,,,,,
,,201,3,《པེ་》《སྣར་》,འགྲོའོ།,,,,,,
,,202,4,《པེ་》《སྣར་》,pའགྲོ་བ་པོ།,,,,,,
,,203,5,《པེ་》《སྣར་》,mརོ།,,,,,,
,,204,6,《པེ་》《སྣར་》,འགྲོའོ་ཞེས་པ།,,,,,,
,,205,7,《པེ་》《སྣར་》,གྱུར།,,,,,,
,,206,8,《པེ་》《སྣར་》,བརྟག,,,,,,
,,207,9,《པེ་》《སྣར་》,འདོད།,,,,,,
,473,208,1,《པེ་》《སྣར་》,འགྲོའོ།,,,,,,
,,209,2,《པེ་》《སྣར་》,དེའི།,,,,,,
,,210,3,《པེ་》《སྣར་》,པ།,,,,,,
,,211,4,《པེ་》《སྣར་》,mལྟ།,,,,,,
,,212,5,《པེ་》《སྣར་》,པ།,,,,,,
,,213,6,《པེ་》《སྣར་》,mམ།,,,,,,
,,214,7,《པེ་》《སྣར་》,pམ།,,,,,,
,,215,8,《པེ་》《སྣར་》,pའགྲོ་བ་པོ་ཡིན་དང་།,,,,,,
,,216,9,《པེ་》《སྣར་》,བསལ།,,,,,,
,474,217,1,《པེ་》,pཔོ།,,,,,,
,,218,2,《པེ་》《སྣར་》,བྱ་བ།,,,,,,
,,219,3,《སྣར་》,བའི།,,,,,,
,,220,4,《པེ་》《སྣར་》,བརྩོམ།,,,,,,
,475,221,1,《པེ་》《སྣར་》,བ་འགྲོ་བ་གང་།,,,,,,
,,222,2,《པེ་》《སྣར་》,སྐྱོད།,,,,,,
,,223,3,《པེ་》《སྣར་》,mདེ།,,,,,,
,,224,4,《པེ་》《སྣར་》,སྐྱོད།,,,,,,
,,225,5,《པེ་》《སྣར་》,ག,,,,,,
,,226,6,《པེ་》《སྣར་》,བརྟགས།,,,,,,
,,227,7,《པེ་》《སྣར་》,བར།,,,,,,
,,228,8,《པེ་》《སྣར་》,pའགྲོ་བ།,,,,,,
