མཆན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
,,204,3,《པེ་》《སྣར་》,mལ།,
,,205,4,《པེ་》《སྣར་》,བསྟན།,
,,206,5,《པེ་》《སྣར་》,གྲུབ།,
,,207,6,《པེ་》《སྣར་》,གཉན།,
,,208,7,《པེ་》《སྣར་》,mདབང་བསྐུར་བའི།,
,608,209,1,《པེ་》《སྣར་》,བརྟེན་མེད་ཀྱིས།,
,,210,2,《པེ་》《སྣར་》,གིས།,
,,211,3,《པེ་》《སྣར་》,mནི།,
,,212,4,《པེ་》《སྣར་》,mདུ།,
,,213,5,《པེ་》《སྣར་》,གིས།,
,609,214,1,《པེ་》《སྣར་》,རྟོག,
,,215,2,《པེ་》《སྣར་》,གིས།,
,,216,3,《པེ་》《སྣར་》,mདེ་ལ།,
,,217,4,《པེ་》《སྣར་》,ཡི།,
,610,218,1,《པེ་》《སྣར་》,mའཁོར།,
,,219,2,《པེ་》《སྣར་》,གི།,
,,220,3,《པེ་》《སྣར་》,གཞུ།,
,611,221,1,《པེ་》《སྣར་》,རྟེན།,
,,222,2,《པེ་》《སྣར་》,དམིགས།,
,,223,3,《པེ་》《སྣར་》,pཔ།,
,,224,4,《པེ་》《སྣར་》,བ།,
,,225,5,《པེ་》《སྣར་》,mཚིག་དང།,
,,226,6,《པེ་》《སྣར་》,ལ།,
,612,227,1,《པེ་》《སྣར་》,སྒྱུར།,
,,228,2,《པེ་》《སྣར་》,པར།,
,,229,3,《པེ་》《སྣར་》,རྣམས་གང།,
,613,230,1,《པེ་》《སྣར་》,mཔ།,
,,231,2,《པེ་》《སྣར་》,ན།,
,,232,3,《པེ་》《སྣར་》,mཡང།,
,,233,4,《སྣར་》,བརྟེན།,
,,234,5,《པེ་》《སྣར་》,mབ།,
,,235,6,《པེ་》《སྣར་》,mཞེས་པ།,
,614,236,1,《པེ་》《སྣར་》,པའོ།,
,,237,2,《པེ་》,སྒོམ།,
,,238,3,《པེ་》《སྣར་》,སྐྱེད།,
,,239,4,《པེ་》《སྣར་》,mབ།,
,615,240,1,《པེ་》《སྣར་》,བསྐོང།,
,,241,2,《པེ་》《སྣར་》,རྒྱུད་པ།,
,,242,3,《ཅོ་》,པའི།,
,,243,4,《པེ་》《སྣར་》,mབསོད་ནམས་ཀྱི་ཚོགས་དང།,
,,244,5,《པེ་》《སྣར་》,pཞེས་བྱའོ།,
,,245,6,《པེ་》《སྣར་》,mཀྱང།,
,,246,7,《པེ་》《སྣར་》,ཡི།,
,,247,6,《པེ་》《སྣར་》,སྒོམ།,
,616,248,1,《པེ་》《སྣར་》,མི་སྒྱུར།,
,,249,2,《པེ་》《སྣར་》,mའདིའི།,
,,250,3,《པེ་》《སྣར་》,mགིས།,
,,251,4,《པེ་》《སྣར་》,mཔ།,
,617,252,1,《སྣར་》,ཡང།,
,,253,2,《པེ་》《སྣར་》,བུ་དང།,
,,254,3,《པེ་》《སྣར་》,བ།,
,,255,4,《པེ་》《སྣར་》,ཀྱི།,
,618,256,1,《པེ་》《སྣར་》,པོའི་འང།,
,,257,2,《པེ་》《སྣར་》,mཀྱི་དབང་པོ།,
,,258,3,《ཅོ་》,རྟེན།,
,,259,4,《པེ་》《སྣར་》,mདེའི།,
,,260,5,《པེ་》《སྣར་》,མོར།,
,619,261,1,《པེ་》《སྣར་》,རྒྱུད།,
,,262,2,《པེ་》《སྣར་》,གོང་ཚུལ་དུ་འདུག,
