མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,,,,,,,,,,,,,,,,,
ཆོས་མངོན་པའི་འགྲེལ་པ་གནད་ཀྱི་སྒྲོན་མ་ཞེས་བྱ་བ། ,997,2,1,《པེ་》《སྣར་》,ཆོས་མངོན་པའི་འགྲེལ་པ་གནད་ཀྱི་སྒྲོན་མ་ཕྱོགས་གླང་གིས་མཛད་པའོ། །,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། ,,,,,,,,,,,,,,,,
,,135,2,《པེ་》,པར་སྨིན་པ།;《ཅོ་》,པ་སྨིན།,,,,,,,,,,,,,,,,,,,,,
,,136,3,《པེ་》《སྣར་》,པ་ལས།,,,,,,,,,,,,,,,,,,,,,,
,,137,4,《སྣར་》,mལས།,,,,,,,,,,,,,,,,,,,,,,
,,138,5,《པེ་》《སྣར་》,mཀྱི།,,,,,,,,,,,,,,,,,,,,,,
,,139,6,《པེ་》《སྣར་》,pརོ།།,,,,,,,,,,,,,,,,,,,,,,
,,140,7,《པེ་》,ལས་བྱུང་བ།;《སྣར་》,པ་ལས་བྱུང་།,,,,,,,,,,,,,,,,,,,,,
,,141,8,《པེ་》《སྣར་》,mཔ།,,,,,,,,,,,,,,,,,,,,,,
,1023,142,1,《སྣར་》,རིམས་ཀྱིས།,,,,,,,,,,,,,,,,,,,,,,
,,143,2,《པེ་》《སྣར་》,mཡང་།,,,,,,,,,,,,,,,,,,,,,,
,,144,3,《པེ་》《སྣར་》,mཔ།,,,,,,,,,,,,,,,,,,,,,,
,1024,145,1,《པེ་》《སྣར་》,mཔ།,,,,,,,,,,,,,,,,,,,,,,
,,146,2,《པེ་》《སྣར་》,བརྟེན།,,,,,,,,,,,,,,,,,,,,,,
,,147,3,《པེ་》《སྣར་》,བརྟེན།,,,,,,,,,,,,,,,,,,,,,,
,,148,4,《པེ་》,mན།,,,,,,,,,,,,,,,,,,,,,,
,,149,5,《པེ་》《སྣར་》,དང་།,,,,,,,,,,,,,,,,,,,,,,
,,150,6,《ཅོ་》,རྟེན།,,,,,,,,,,,,,,,,,,,,,,
,,151,7,《པེ་》《སྣར་》,mནི།,,,,,,,,,,,,,,,,,,,,,,
,,152,8,《པེ་》《སྣར་》,mམི།,,,,,,,,,,,,,,,,,,,,,,
,,153,9,《པེ་》《སྣར་》,pདག,,,,,,,,,,,,,,,,,,,,,,
,,154,10,《ཅོ་》,mཔ།,,,,,,,,,,,,,,,,,,,,,,
,,155,11,《པེ་》《སྣར་》,ལས།,,,,,,,,,,,,,,,,,,,,,,
,,156,12,《པེ་》《སྣར་》,པ།,,,,,,,,,,,,,,,,,,,,,,
,,157,13,《པེ་》,བའི།,,,,,,,,,,,,,,,,,,,,,,
,1025,158,1,《པེ་》《སྣར་》,སྐྱེས་མིན་ཏེ།,,,,,,,,,,,,,,,,,,,,,,
,,159,2,《པེ་》《སྣར་》,mཔ།,,,,,,,,,,,,,,,,,,,,,,
,1026,160,1,《པེ་》,ངེས་རྟོག;《སྣར་》,ངས་རྟོག,,,,,,,,,,,,,,,,,,,,,
,,161,2,《པེ་》《སྣར་》,མ།,,,,,,,,,,,,,,,,,,,,,,
,,162,3,《པེ་》《སྣར་》,mམ་ཡིན་པ།,,,,,,,,,,,,,,,,,,,,,,
,,163,4,《པེ་》《སྣར་》,mམ།,,,,,,,,,,,,,,,,,,,,,,
,,164,5,《སྣར་》,གི།,,,,,,,,,,,,,,,,,,,,,,
,,165,6,《པེ་》《སྣར་》,pབས།,,,,,,,,,,,,,,,,,,,,,,
,1027,166,1,《སྣར་》,mངོ་།,,,,,,,,,,,,,,,,,,,,,,
,,167,2,《པེ་》,ཐོག,,,,,,,,,,,,,,,,,,,,,,
,,168,3,《པེ་》《སྣར་》,ཞེ། ,,,,,,(ཆོས་ཚན་འདིའི་ནང་དུ་ས་མཐར་ཤེ་ཅེས་པ་རྣམས་《པེ་》《སྣར་》ལ་ཞེ་ཞེས་འཁོད་ཀྱང་བསྡུར་མཆན་དུ་བཀོད་མེད།,,,,,,,,,,,,,,,,
,,169,4,《སྣར་》,པའི།,,,,,,,,,,,,,,,,,,,,,,
,,170,5,《པེ་》《སྣར་》,mནས།,,,,,,,,,,,,,,,,,,,,,,
,,171,6,《པེ་》《སྣར་》,པ།,,,,,,,,,,,,,,,,,,,,,,
,1028,172,1,《པེ་》《སྣར་》,འགག,,,,,,,,,,,,,,,,,,,,,,
,,173,2,《པེ་》《སྣར་》,ན།,,,,,,,,,,,,,,,,,,,,,,
,,174,3,《པེ་》《སྣར་》,གིས།,,,,,,,,,,,,,,,,,,,,,,
,,175,4,《སྣར་》,རྐྱེན།,,,,,,,,,,,,,,,,,,,,,,
,,176,5,《པེ་》,རྟེན་ན།;《སྣར་》,རྟེན་ནི།,,,,,,,,,,,,,,,,,,,,,
,,177,6,《པེ་》,པ།,,,,,,,,,,,,,,,,,,,,,,
,,178,7,《ཅོ་》,པ།,,,,,,,,,,,,,,,,,,,,,,
,1029,179,1,《སྣར་》,གི།,,,,,,,,,,,,,,,,,,,,,,
,,180,2,《པེ་》《སྣར་》,mཔ།,,,,,,,,,,,,,,,,,,,,,,
,,181,3,《པེ་》,དཔྱོད་པ་ནས།;《སྣར་》,དཔྱོད་པས་ན།,,,,,,,,,,,,,,,,,,,,,
,,182,4,《པེ་》《སྣར་》,བའི།,,,,,,,,,,,,,,,,,,,,,,
,,183,5,《པེ་》《སྣར་》,གིས།,,,,,,,,,,,,,,,,,,,,,,
,1030,184,1,《པེ་》《སྣར་》,pདེ།,,,,,,,,,,,,,,,,,,,,,,
,,185,2,《པེ་》《སྣར་》,mདང་།,,,,,,,,,,,,,,,,,,,,,,
,,186,3,《པེ་》《སྣར་》,mཔ།,,,,,,,,,,,,,,,,,,,,,,
,,187,4,《པེ་》《སྣར་》,ལུས།,,,,,,,,,,,,,,,,,,,,,,
,,188,5,《སྣར་》,ཡིས།,,,,,,,,,,,,,,,,,,,,,,
,,189,6,《པེ་》,རྟེན།,,,,,,,,,,,,,,,,,,,,,,
,,190,7,《པེ་》《སྣར་》,ཀྱིས།,,,,,,,,,,,,,,,,,,,,,,
,1031,191,1,《པེ་》《སྣར་》,ཤེས།,,,,,,,,,,,,,,,,,,,,,,
,,192,2,《པེ་》《སྣར་》,mམིག,,,,,,,,,,,,,,,,,,,,,,
,,193,3,《པེ་》《སྣར་》,སྐྱེད།,,,,,,,,,,,,,,,,,,,,,,
,,194,4,《སྣར་》,ཁམས།,,,,,,,,,,,,,,,,,,,,,,
