མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
,,237,6,《པེ་》《སྣར་》,ཀྱིས།,
,,238,7,《པེ་》《སྣར་》,དཔའ།,
,,239,8,《པེ་》《སྣར་》,ལ།,
,481,240,1,《པེ་》《སྣར་》,བློས།,
,,241,2,《པེ་》《སྣར་》,ཚོན།,
,,242,3,《པེ་》《སྣར་》,དཔས།,
,,243,4,《པེ་》《སྣར་》,ཀྱི།,
,,244,5,《པེ་》《སྣར་》,mཔོ།,
,482,245,1,《པེ་》《སྣར་》,དེ།,
,,246,2,《པེ་》《སྣར་》,གི།,
,,247,3,《པེ་》《སྣར་》,སྤོང་།,
,,248,4,《པེ་》《སྣར་》,དཔའ།,
,483,249,1,《པེ་》《སྣར་》,དཔའ།,
,,250,2,《པེ་》,བྱས་སྟེ།,《སྣར་》,བྱས་ཏེ།
,,251,3,《པེ་》,ལ་གཞུང་།,《སྣར་》,ལ་གཞུངས།
,,252,4,《པེ་》《སྣར་》,ལོབ་རྐྱེན།,
,,253,5,《པེ་》《སྣར་》,བརྗོད་པ།,
,,254,6,《པེ་》《སྣར་》,རྟོག,
,,255,7,《པེ་》《སྣར་》,mབཞིན།,
,484,256,1,《སྣར་》,དཔའ།,
,,257,2,《པེ་》《སྣར་》,སམ།,
,,258,3,《པེ་》《སྣར་》,བརྩམས།,
,,259,4,《པེ་》《སྣར་》,mཀྱི།,
,,260,5,《པེ་》《སྣར་》,ཐོབ།,
,,261,6,《པེ་》《སྣར་》,གྱིས།,
,485,262,1,《པེ་》《སྣར་》,pགཞན་དག་ལ།,
,,263,2,《པེ་》《སྣར་》,དོ།།,
,,264,3,《པེ་》《སྣར་》,དོ།,
,,265,4,《པེ་》《སྣར་》,འབེལ།,
,,266,5,《པེ་》《སྣར་》,གཏམ།,
,,267,6,《པེ་》《སྣར་》,pདང་ཐོས།,
,,268,7,《སྣར་》,ཐོབ།,
,,269,8,《པེ་》《སྣར་》,སྒྲུབ།,
,486,270,1,《པེ་》《སྣར་》,mཤིན་ཏུ།,
,,271,2,《སྣར་》,pསེམས་མཉམ་པ་ལ།,
,,272,3,《པེ་》《སྣར་》,རྟེན།,
,,273,4,《པེ་》《སྣར་》,བསམ།,
,,274,5,《པེ་》《སྣར་》,བསྲུང་།,
,,275,6,《པེ་》《སྣར་》,བསྡུམ།,
,,276,7,《པེ་》《སྣར་》,འཚོལ།,
,,277,8,《པེ་》《སྣར་》,mརང་།,
,487,278,1,《པེ་》《སྣར་》,འབོག,
,,279,2,《པེ་》《སྣར་》,བསྲུང་།,
,,280,3,《པེ་》《སྣར་》,ཀྱི།,
,,281,4,《པེ་》《སྣར་》,བཅོལ།,
,,282,5,《པེ་》《སྣར་》,སོང་།,
,,283,6,《པེ་》《སྣར་》,བརྟག,
,,284,7,《སྣར་》,སྲུང་།,
,,285,8,《སྣར་》,།། །།,
,,286,9,《པེ་》《སྣར་》,ལ།,
,,287,10,《པེ་》《སྣར་》,mསྡུག་བསྔལ་བསལ་བའི།,
,,288,11,《པེ་》《སྣར་》,mཚེ།,
,488,289,1,《པེ་》《སྣར་》,pགྱི།,
,,290,2,《པེ་》《སྣར་》,mཏེ།,
,,291,3,《པེ་》《སྣར་》,པ།,
,,292,4,《པེ་》《སྣར་》,mལ།,
,,293,5,《པེ་》《སྣར་》,ཏེ།,
,,294,6,《པེ་》《སྣར་》,བསྒྲིབས།,
,,295,7,《པེ་》《སྣར་》,mན།,
,,296,8,《པེ་》《སྣར་》,mཔའི།,
,489,297,1,《པེ་》《སྣར་》,པའི།,
,,298,2,《པེ་》《སྣར་》,པ།,
,,299,3,《པེ་》《སྣར་》,mཅན།,
,490,300,1,《པེ་》《སྣར་》,དེ་དུལ།,
,,301,2,《པེ་》《སྣར་》,mཆེན་པོ།,
,,302,3,《པེ་》《སྣར་》,mདང་།,
,,303,4,《པེ་》《སྣར་》,སྐུར།,
,,304,5,《པེ་》《སྣར་》,མི་འཕྲོད།,
,,305,6,《པེ་》《སྣར་》,བཅད།,
,,306,7,《པེ་》《སྣར་》,དེ་དུལ།,
,,307,8,《པེ་》《སྣར་》,གི།,
,,308,9,《པེ་》《སྣར་》,བརྗོད།,
,491,309,1,《པེ་》《སྣར་》,pལེགས་པར་སྨྲས་པ་ཡང་།,
,,310,2,《པེ་》《སྣར་》,བཅད།,
,,311,3,《པེ་》《སྣར་》,བཅད།,
,,312,4,《སྣར་》,པར།,
,492,313,1,《པེ་》《སྣར་》,mསེམས་ཆ།,
,,314,2,《པེ་》《སྣར་》,འཚང་།,
,,315,3,《པེ་》《སྣར་》,མཐོང་།,
,,316,4,《པེ་》,འཁྲུག་ཅིང་འབྱེད་པར།,《སྣར་》,འཁྲུགས་ཅིང་འབྱེད་པར།
,,317,5,《སྣར་》,རིག,
,,318,6,《པེ་》《སྣར་》,གཅིག,
,,319,7,《པེ་》《སྣར་》,ནོས།,
,493,320,1,《པེ་》《སྣར་》,mནི།,
,,321,2,《པེ་》《སྣར་》,བར།,
,,322,3,《སྣར་》,ལྡང་།,
,,323,4,《པེ་》《སྣར་》,ཤུ་པའི།,
,,324,5,《པེ་》《སྣར་》,གི།,
,,325,6,《པེ་》《སྣར་》,མྱུར་གྱུར།,
,,326,7,《ཅོ་》,ཤུའི།,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,,
