            མཚན་བྱང་།,         ཤོག་གྲངས།,1,              མཆན་གྲངས།,               པར་མ།,                                                                           མཆན།
,,235,4,《པེ་》《སྣར་》,ཞེས།,
,,236,5,《པེ་》《སྣར་》,mབ།,
,,237,6,《པེ་》《སྣར་》,pཏེ།,
,,238,7,《པེ་》《སྣར་》,འགྱུར།,
,,239,8,《པེ་》《སྣར་》,ན།,
,806,240,1,《པེ་》《སྣར་》,སྐྱེ་བུ་རྡུལ་ཙམ་ཞིག,
,,241,2,《ཅོ་》,པར།,
,,242,3,《པེ་》《སྣར་》,ཡི།,
,,243,4,《ཅོ་》,པར།,
,,244,5,《པེ་》《སྣར་》,གྱུར།,
,,245,6,《པེ་》《སྣར་》,མེད།,
,,246,7,《པེ་》《སྣར་》,ཉིད།,
,,247,8,《སྣར་》,བྱད།,
,,248,9,《པེ་》《སྣར་》,འཇིགས་པ་སྣང་གྱུར།,
,,249,10,《པེ་》《སྣར་》,ཇི།,
,807,250,1,《པེ་》《སྣར་》,ག,
,,251,2,《པེ་》《སྣར་》,སྐྱེས།,
,,252,3,《པེ་》《སྣར་》,པ།,
,,253,4,《ཅོ་》,བར།,
,,254,5,《པེ་》《སྣར་》,ཕྱ།,
,,255,6,《པེ་》《སྣར་》,ཀྱིས།,
,,256,7,《པེ་》《སྣར་》,གྱུར་པ།,
,,257,8,《པེ་》《སྣར་》,ཅི།,
,,258,9,《པེ་》《སྣར་》,ཐར།,
,,259,10,《པེ་》《སྣར་》,ལྟར།,
,808,260,1,《པེ་》《སྣར་》,པོ།,
,,261,2,《པེ་》《སྣར་》,སྙིང་པོར།,
,,262,3,《པེ་》《སྣར་》,དེས།,
,,263,4,《པེ་》《སྣར་》,དང་།,
,,264,5,《ཅོ་》,ཕྱིས་ན།,
,,265,6,《པེ་》《སྣར་》,ཀྱི།,
,,266,7,《པེ་》《སྣར་》,ཡིས།,
,809,267,1,《པེ་》《སྣར་》,པོར།,
,,268,2,《པེ་》,རྣམས།,
,,269,3,《པེ་》《སྣར་》,ཡི།,
,,270,4,《སྣར་》,དགའ།,
,,271,5,《པེ་》《སྣར་》,མ།,
,,272,6,《ཅོ་》,རིང་།,
,,273,7,《སྣར་》,འགའ།,
,,274,8,《པེ་》《སྣར་》,བསྒྲུབ།,
,,275,9,《སྣར་》,ཕྱིས།,
,,276,10,《ཅོ་》,པར།,
,,277,11,《ཅོ་》,ཡི།,
,,278,12,《ཅོ་》,འཇིག,
,,279,13,《པེ་》《སྣར་》,འགའ།,
,,280,14,《པེ་》《སྣར་》,སྨོས་ཅི་དགོས།,
,810,281,1,《པེ་》,སྟོང་།,
,,282,2,《པེ་》《སྣར་》,བ།,
,,283,3,《པེ་》《སྣར་》,འཇིག,
,,284,4,《པེ་》《སྣར་》,བསྐྱེད།,
,,285,5,《པེ་》《སྣར་》,ཀྱི།,
,,286,6,《པེ་》《སྣར་》,འདི།,
,,287,7,《པེ་》《སྣར་》,བསྲེགས་ཏེ་མེ་ཡི།,
,,288,8,《པེ་》《སྣར་》,འཇིག,
,,289,9,《པེ་》《སྣར་》,གང་།,
,,290,10,《པེ་》《སྣར་》,རྣམས་ཀྱི་ཡང་།,
,,291,11,《པེ་》《སྣར་》,རིག,
,,292,12,《པེ་》《སྣར་》,ཟེ།,
,811,293,1,《པེ་》《སྣར་》,པར།,
,,294,2,《པེ་》《སྣར་》,བསྔལ།,
,,295,3,《པེ་》《སྣར་》,སྟེང་།,
,,296,4,《པེ་》《སྣར་》《ཅོ་》,ཡི།,
,,297,5,《ཅོ་》,པ།,
,,298,6,《སྣར་》,པ།,
,,299,7,《པེ་》《སྣར་》,ན།,
,812,300,1,《པེ་》《སྣར་》,བལྟ།,
,,301,2,《པེ་》《སྣར་》,བསྟན།,
,,302,3,《པེ་》《སྣར་》,བྱ།,
,,303,4,《ཅོ་》,འགའ།,
,,304,5,《པེ་》《སྣར་》,འགྱུར།,
,,305,6,《པེ་》《སྣར་》,གིས།,
,,306,7,《པེ་》《སྣར་》,བལྟ།,
,,307,8,《པེ་》《སྣར་》,འགྱུར།,
,,308,9,《པེ་》《སྣར་》,མང་།,
,,309,10,《པེ་》《སྣར་》,བརྗོད།,
,,310,11,《པེ་》《སྣར་》,བསྒྲིབ།,
,,311,12,《ཅོ་》,པོ།,
,,312,13,《པེ་》《སྣར་》,བལྟ།,
,,313,14,《པེ་》《སྣར་》,ཅི།,
,,314,15,《པེ་》《སྣར་》,བསྐྱེད།,
,813,315,1,《པེ་》《སྣར་》,ཀྱང་།,
,,316,2,《པེ་》《སྣར་》,ཀྱི།,
,,317,3,《པེ་》《སྣར་》,ལ་ས་སྟེང་།,
,,318,4,《པེ་》《སྣར་》,ཅན་མིན་ཅང་།,
,814,319,1,《པེ་》《སྣར་》,ཏུ།,
,,320,2,《ཅོ་》,དེ།,
,,321,3,《པེ་》《སྣར་》,རྣམས་སྦྱོར་བ་ནི།,《ཅོ་》,སོགས་རྣམ་སྦྱོར་བ།,
,,322,4,《པེ་》《སྣར་》,མ་གཏོགས།,,
,,323,5,《པེ་》《སྣར་》,འགྲུབ།,,
,,324,6,《པེ་》《སྣར་》,གྱུར།,,
,,325,7,《པེ་》《སྣར་》,བསྐྱེད།,,
,815,326,1,《པེ་》《སྣར་》,མེ།,,
,,327,2,《པེ་》《སྣར་》,ལའང་།,,
,,328,3,《པེ་》《སྣར་》,བརྟག,,
,,329,4,《པེ་》《སྣར་》,ལ།,,
,,330,5,《ཅོ་》,དེ།,,
,,331,6,《པེ་》《སྣར་》,འདོད།,,
,,332,7,《པེ་》《སྣར་》,ལྟ།,,
,,333,8,《པེ་》《སྣར་》,ན།,,
,,334,9,《པེ་》《སྣར་》,ལྟ་ཉེས་ན།,,
,,335,10,《པེ་》《སྣར་》《ཅོ་》,ན།,,
,816,336,1,《པེ་》《སྣར་》,འདོད་ནས་སྐྱེས།,,
,,337,2,《པེ་》《སྣར་》,གྲུབ།,
,,338,3,《པེ་》《སྣར་》,པའང་།,
,,339,4,《པེ་》《སྣར་》,pཀ,
,,340,5,《པེ་》《སྣར་》,mབ།,
,,341,6,《པེ་》《སྣར་》,ཪྙིང་།,
,,342,7,《པེ་》《སྣར་》《ཅོ་》,འགག,
,,343,8,《པེ་》《སྣར་》,ཅི།,
,,344,9,《པེ་》《སྣར་》,རིམ་གྱིས།,
,,345,10,《པེ་》《སྣར་》,pབ།,
,,346,11,《པེ་》《སྣར་》,mཔ།,
,817,347,1,《པེ་》《སྣར་》,དང་མཚན་མེད།,
,,348,2,《པེ་》《སྣར་》,ག,
,,349,3,《པེ་》《སྣར་》,ཕྱེད།,
,,350,4,《པེ་》《སྣར་》,པ།,
,,351,5,《པེ་》《སྣར་》,པ།,
,,352,6,《པེ་》《སྣར་》,སྐྱེའོ་ཞེས་པར་གྲགས།,
,,353,7,《ཅོ་》,འགྱུར།,
,,354,8,《པེ་》《སྣར་》,སྐྱེ།,
,,355,9,《པེ་》《སྣར་》,མིན།,
,818,356,1,《པེ་》《སྣར་》,དོན་དམ་དུ།,
,,357,2,《པེ་》《སྣར་》,ཀྱི། །དེ།,
,,358,3,《པེ་》《སྣར་》,བརྟེན།,
,,359,4,《པེ་》《སྣར་》,ཅིག །གང་།,
,,360,5,《པེ་》《སྣར་》,གཞན།,
,,361,6,《པེ་》《སྣར་》,བྱུང་།,
,,362,7,《པེ་》《སྣར་》,ཇི།,
,819,363,1,《པེ་》《སྣར་》,བླ།,
,,364,2,《པེ་》《སྣར་》,མི།,
,,365,3,《སྣར་》,གྱུར།,
,820,366,1,《པེ་》《སྣར་》,རྟོགས།,
,,367,2,《པེ་》《སྣར་》,pཉིད།,
,,368,3,《པེ་》《སྣར་》,ཀླན།,
,,369,4,《པེ་》《སྣར་》,པ།,,
,,370,6,《པེ་》《སྣར་》,ལོ་ཙཱ།,,
,,371,7,《པེ་》《སྣར་》,པའོ།,,
