མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།,,,,,
,,239,2,《པེ་》《སྣར་》,མ།,,,,,,
,955,240,1,《པེ་》《སྣར་》,བ་པོའི།,,,,,,
,,241,2,《པེ་》,མིག་གི།;《སྣར་》,མིག་གིས།,,,,,
,,242,3,《པེ་》《སྣར་》,mཔ།,,,,,,
,,243,4,《པེ་》《སྣར་》,པར།,,,,,,
,,244,5,《པེ་》《སྣར་》,འཐུན།,,,,,,
,,245,6,《པེ་》《སྣར་》,ནའོ།,,,,,,
,,246,7,《པེ་》《སྣར་》,pགང་།,,,,,,
,,247,8,《པེ་》《སྣར་》《ཅོ་》,mཔ།,,,,,,
,956,248,1,《པེ་》《སྣར་》,གི།,,,,,,
,,249,2,《པེ་》《སྣར་》,སྨྲ་བ།,,,,,,
,,250,3,《པེ་》《སྣར་》,mའགྲོ་བ་ལ།,,,,,,
,,251,4,《པེ་》《སྣར་》,mཞེ།,,,,,,
,,252,5,《པེ་》《སྣར་》,བྱ་བ།,,,,,,
,,253,6,《པེ་》《སྣར་》,བྱ་བས།,,,,,,
,,254,7,《པེ་》《སྣར་》,པ།,,,,,,
,957,255,1,《པེ་》《སྣར་》,བ།,,,,,,
,,256,2,《པེ་》《སྣར་》,mརང་།,,,,,,
,,257,3,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,958,258,1,《པེ་》《སྣར་》,བཤརྨ།,,,,,,
,959,259,1,《པེ་》《སྣར་》,mབ།,,,,,,
,,260,2,《པེ་》《སྣར་》,དེ།,,,,,,
,,261,3,《སྣར་》,བསམ།,,,,,,
,,262,4,《པེ་》《སྣར་》,mབ།,,,,,,
,,263,5,《པེ་》《སྣར་》,mབ།,,,,,,
,,264,6,《པེ་》《སྣར་》,mབ།,,,,,,
,,265,7,《པེ་》《སྣར་》,བཞག,,,,,,
,,266,8,《པེ་》《སྣར་》,པ།,,,,,,
,,267,9,《སྣར་》,པར།,,,,,,
,,268,10,《པེ་》《སྣར་》,མེ་བསྒྲུབས།,,,,,,
,,269,11,《པེ་》《སྣར་》,པར།,,,,,,
,,270,12,《སྣར་》,གྱིས།,,,,,,
,960,271,1,《སྣར་》,ལ།,,,,,,
,,272,2,《པེ་》《སྣར་》,གྱི།,,,,,,
,,273,3,《པེ་》《སྣར་》,གི།,,,,,,
,,274,4,《པེ་》《སྣར་》,mཉིད།,,,,,,
