མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན,
,,220,4,《པེ་》,mཔ།,
,,221,5,《པེ་》《སྣར་》,mཉིད།,
,,222,6,《པེ་》《སྣར་》,mདག,
,,223,7,《པེ་》《སྣར་》,mལྡན་པ་དང་སྐལ་བ་དང་།,
,,224,8,《པེ་》《སྣར་》,བྱ་བའོ།,
,,225,9,《སྣར་》,འདུ་བ།,
,,226,10,《པེ་》《སྣར་》,དཀའ།,
,,227,11,《པེ་》《སྣར་》,གི།,
,,228,12,《པེ་》,གཟུང་།,
,,229,13,《པེ་》,ཀྱི།,
,,230,14,《པེ་》,གཟུང་བ་སྟོན་ཏེ།,《སྣར་》,བཟུང་བ་སྟོན་ཏེ།
,,231,15,《སྣར་》,ཀྱིས།,
,,232,16,《པེ་》《སྣར་》,mནི།,
,111,233,1,《པེ་》《སྣར་》,བཟངས།,
,,234,2,《སྣར་》,ཡིན།,
,,235,3,《པེ་》《སྣར་》,pན།,
,,236,4,《པེ་》《སྣར་》,ཏོ།,
,,237,5,《པེ་》《སྣར་》,ལས།,
,,238,6,《པེ་》《སྣར་》,གྱི།,
,,239,7,《པེ་》《སྣར་》,mཅན།,
,,240,8,《པེ་》《སྣར་》,mནི།,
,112,241,1,《པེ་》《སྣར་》,སྙིས།,
,,242,2,《སྣར་》,ཡོང་།,
,,243,3,《པེ་》《སྣར་》,mརབ་ཏུ།,
,,244,4,《པེ་》《སྣར་》,mརྣམ་པར།,
,,245,5,《པེ་》《སྣར་》,དེ་པའི།,
,,246,6,《པེ་》,དེ་ནས།,
,,247,7,《སྣར་》,mཉིད་ཀྱི།,
,,248,8,《པེ་》,ཡང་།,
,,249,9,《པེ་》《སྣར་》,mཀྱང་།,
,,250,10,《པེ་》《སྣར་》,དེ།,
,113,251,1,《པེ་》《སྣར་》,mཀྱང་།,
,,252,2,《པེ་》《སྣར་》,pདུ།,
,,253,3,《པེ་》《སྣར་》,pམ།,
,,254,4,《པེ་》《སྣར་》,པ།,
,,255,5,《པེ་》《སྣར་》,ཉོན་མོངས།,
,,256,6,《པེ་》《སྣར་》,mརོ།,
,,257,7,《པེ་》《སྣར་》,mནི།,
,114,258,1,《པེ་》《སྣར་》,བཟུང་།,
,,259,2,《པེ་》《སྣར་》,བཟུང་།,
,,260,3,《པེ་》《སྣར་》,pནི།,
,,261,4,《པེ་》《སྣར་》,ཀྱི།,
,,262,5,《པེ་》《སྣར་》,པོ།,
,,263,6,《པེ་》《སྣར་》,ཀྱི།,
,115,264,1,《པེ་》《སྣར་》,ཀྱི།,
,,265,2,《སྣར་》,མི།,
,,266,3,《སྣར་》,མི།,
,,267,4,《པེ་》《སྣར་》,ཀྱི།,
,,268,5,《པེ་》《སྣར་》,mཔ་དག,
,,269,6,《པེ་》《སྣར་》,mཡོད་པ།,
,116,270,1,《པེ་》《སྣར་》,རའི།,
,,271,2,《པེ་》《སྣར་》,ཀྱི།,
,,272,3,《པེ་》《སྣར་》,གི།,
,,273,4,《པེ་》《སྣར་》,བྱའོ།,
,,274,5,《སྣར་》,pདག,
,117,275,1,《པེ་》《སྣར་》,གྱི།,
,,276,2,《པེ་》《སྣར་》,mཡང་།,
,,277,3,《པེ་》《སྣར་》,བའོ།,
,,278,4,《པེ་》《སྣར་》,mདོན།,
,,279,5,《པེ་》《སྣར་》,ཀྱིས།,
,,280,6,《པེ་》《སྣར་》,།།   །།,
,,281,7,《སྣར་》,pའདུལ་བ།,
,,282,8,《པེ་》,བརྟེན།,
,,283,9,《པེ་》《སྣར་》,mདང་།,
,,284,10,《པེ་》《སྣར་》,པའི།,
,,285,11,《པེ་》《སྣར་》,རིག,
,118,286,1,《པེ་》《སྣར་》,སྟོན།,
,,287,2,《པེ་》《སྣར་》,རིག,
,,288,3,《པེ་》《སྣར་》,།།  །།,
,,289,4,《པེ་》,ཆོས།,
,,290,5,《པེ་》《སྣར་》,བཟུང་།,
,,291,6,《པེ་》《སྣར་》,སྟེ།,
,,292,7,《པེ་》《སྣར་》,།།  །།,
,,293,8,《སྣར་》,གྱིས།,
,,294,9,《པེ་》《སྣར་》,ཀྱིས།,
,119,295,1,《པེ་》《སྣར་》,mདགེ་སྦྱོང་དང་།,
,,296,2,《པེ་》《སྣར་》,དེ་ཡིས།,
,,297,3,《པེ་》《སྣར་》,གྱི།,
,,298,4,《པེ་》《སྣར་》,སྒྲུབ།,
,,299,5,《པེ་》《སྣར་》,དང་།,
,120,300,1,《པེ་》《སྣར་》,པས་ན།,
,,301,2,《སྣར་》,ལོང་།,
,,302,3,《པེ་》《སྣར་》,རྒྱུ།,
,,303,4,《པེ་》《སྣར་》,བརྟན།,
,,304,5,《པེ་》《སྣར་》,དམ།,
,,305,6,《པེ་》《སྣར་》,སྒྲུབ།,
,,306,7,《པེ་》《སྣར་》,ལྡང་།,
,,307,8,《པེ་》《སྣར་》,སྤྲང་རྐྱག,
,,308,9,《པེ་》《སྣར་》,pནས།,
,121,309,1,《པེ་》《སྣར་》,mཉིད།,
,,310,2,《པེ་》《སྣར་》,།།  །།,
,,311,3,《སྣར་》,pད།,
,,312,4,《པེ་》《སྣར་》,mམི།,
,,313,5,《པེ་》《སྣར་》,pདག,
,,314,6,《པེ་》,འཚོལ།,
,,315,7,《པེ་》,བྱ།,
,122,316,1,《པེ་》《སྣར་》,དགོས།,
,,317,2,《པེ་》《སྣར་》,མྱང་།,
,,318,3,《པེ་》,mརིག་པར།,
,,319,4,《པེ་》《སྣར་》,བཅིངས་པའོ།,
,,320,5,《པེ་》《སྣར་》,mདུ།,
,,321,6,《པེ་》《སྣར་》,མྱང་།,
,,322,7,《པེ་》《སྣར་》,ཀྱི།,
,,323,8,《པེ་》《སྣར་》,mདང་།,
,,324,9,《པེ་》《སྣར་》,མྱང་།,
,,325,10,《པེ་》《སྣར་》,བ།,
,,326,11,《པེ་》《སྣར་》,ལྟ།,
,123,327,1,《པེ་》《སྣར་》,བླང་བའི།,
,,328,2,《པེ་》《སྣར་》,བསྲུང་།,
,,329,3,《པེ་》《སྣར་》,mཔ།,
,,330,4,《པེ་》《སྣར་》,རྟས་པར་བྱེད་པའི།,
,,331,5,《པེ་》《སྣར་》,བསྒོམས་པ་བྱས་པ་དང་།  སྒོམ།,《ཅོ་》,བསྒོམས་པར་བྱས་པའམ།  བསྒོམ།
,,332,6,《པེ་》《སྣར་》,བསྒོམས།,
,,333,7,《པེ་》《སྣར་》,བསག,
,,334,8,《པེ་》《སྣར་》,ལས།,
,124,335,1,《པེ་》《སྣར་》,ཀྱི།,
,,336,2,《པེ་》《སྣར་》,པ།,
,,337,3,《པེ་》《སྣར་》,དང་།,
,,338,4,《པེ་》《སྣར་》,བ།,
,,339,5,《པེ་》《སྣར་》,mལ།,
