མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན,,,,,,
,,201,11,《པེ་》《སྣར་》,པ།,,,,,,
,,202,12,《པེ་》《སྣར་》,གིས།,,,,,,
,,203,13,《པེ་》《སྣར་》,སྐྱེ་བོ།,,,,,,
,38,204,1,《པེ་》《སྣར་》,ལ།,,,,,,
,,205,2,《པེ་》《སྣར་》,དེ།,,,,,,
,,206,3,《པེ་》《སྣར་》,རྣམས་ཞེས།,,,,,,
,,207,4,《པེ་》《སྣར་》,པའི།,,,,,,
,,208,5,《པེ་》《སྣར་》,ཚོལ།,,,,,,
,,209,6,《པེ་》《སྣར་》,pམིང་ལ།,,,,,,
,39,210,1,《པེ་》《སྣར་》,ཏེ།,,,,,,
,,211,2,《པེ་》《སྣར་》,ནི།,,,,,,
,,212,3,《པེ་》《སྣར་》,དགུ།,,,,,,
,,213,4,《པེ་》《སྣར་》,mཡི་གེ་བཞི་དང་།,,,,,,
,40,214,1,《པེ་》《སྣར་》,pཔ།,,,,,,
,,215,2,《སྣར་》,ལྟར།,,,,,,
,,216,3,《ཅོ་》,པོའི།,,,,,,
,,217,4,《པེ་》《སྣར་》,ལྟ།,,,,,,
,41,218,1,《པེ་》《སྣར་》,mཕྱིར།,,,,,,
,42,219,1,《པེ་》《སྣར་》,ལས།,,,,,,
,,220,2,《པེ་》《སྣར་》,mཡང་།,,,,,,
,,221,3,《པེ་》《སྣར་》,མན།,,,,,,
,,222,4,《པེ་》《སྣར་》,འབྱུང་།,,,,,,
,,223,5,《པེ་》《སྣར་》,ཆད།,,,,,,
,,224,6,《པེ་》《སྣར་》,གི།,,,,,,
,43,225,1,《པེ་》《སྣར་》,གྱི།,,,,,,
,,226,2,《པེ་》《སྣར་》,ལོ།,,,,,,
,,227,3,《པེ་》《སྣར་》,mསོ།,,,,,,
,,228,4,《པེ་》《སྣར་》,གྱི།,,,,,,
,,229,5,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,230,6,《པེ་》《སྣར་》,pཆེན་པོ།,,,,,,
,44,231,1,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,,232,2,《པེ་》《སྣར་》,གིས་ཚེ།,,,,,,
,,233,3,《སྣར་》,pཅིག,,,,,,
,,234,4,《པེ་》《སྣར་》,ཏེ།,,,,,,
,,235,5,《པེ་》《སྣར་》,ཀྱང་།,,,,,,
,,236,6,《པེ་》《སྣར་》,པ།,,,,,,
,45,237,1,《པེ་》《སྣར་》,གི།,,,,,,
,,238,2,《པེ་》《སྣར་》,མའི།,,,,,,
,,239,3,《པེ་》《སྣར་》,གི།,,,,,,
