མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
,,386,2,《པེ་》《སྣར་》,ཉུང་།
,,387,3,《པེ་》《སྣར་》,གིས།
,,388,4,《པེ་》,mཔར་བྱེད།
,,389,5,《པེ་》《སྣར་》,པ་ལས་སྐྱེ།
,64,390,1,《པེ་》《སྣར་》,ལོ།
,,391,2,《པེ་》《སྣར་》,ལོ།
,,392,3,《པེ་》《སྣར་》,mམ།
,,393,4,《པེ་》《སྣར་》,པའི།
,,394,5,《པེ་》《སྣར་》,ཡུམ།
,,395,6,《པེ་》《སྣར་》,བསྐྱེད།
,,396,7,《པེ་》《སྣར་》,མོས།
,,397,8,《པེ་》《སྣར་》,སྨྲས།
,65,398,1,《པེ་》《སྣར་》,པ་དེའི།
,,399,2,《པེ་》《སྣར་》,པའི།
,,400,3,《པེ་》《སྣར་》,pསྤྱིར།
,,401,4,《པེ་》《སྣར་》,བརྙེས།,
,,402,5,《སྣར་》,mལས།,
,,403,6,《པེ་》《སྣར་》,ཚེ།,
,,404,7,《པེ་》,པ་ནི་གང་ཚེ།,《སྣར་》,པ་ནི་གབ་ཚེ།
,,405,8,《སྣར་》,དེས་གབ་ཚེ།,
,,406,9,《པེ་》《སྣར་》,ཚེ་ལ།,
,,407,10,《པེ་》《སྣར་》,ཚེ།,
,66,408,1,《པེ་》《སྣར་》,ཀྱང་།,
,,409,2,《པེ་》《སྣར་》,བརྟག,
,,410,3,《པེ་》,mབར།,
,,411,4,《པེ་》《སྣར་》,ཏེ།,
,67,412,1,《པེ་》《སྣར་》,པར།,
,,413,2,《པེ་》《སྣར་》,pཡིན།,
,,414,3,《པེ་》《སྣར་》,pགྲིབ་མ།,
,,415,4,《པེ་》《སྣར་》,ཏེ།,
,,416,5,《པེ་》《སྣར་》,བོའི།,
,68,417,1,《པེ་》《སྣར་》,སྤངས་པའི།
,,418,2,《པེ་》《སྣར་》,བརྟག
,,419,3,《པེ་》《སྣར་》,ཀྱིས།
,,420,4,《པེ་》《སྣར་》,པ།
,,421,5,《པེ་》《སྣར་》,ལ།
,,422,6,《པེ་》《སྣར་》,བསྒོམ།
,69,423,1,《པེ་》《སྣར་》,པས།
,,424,2,《པེ་》《སྣར་》,པ།
,,425,3,《པེ་》《སྣར་》,གི།
,,426,4,《པེ་》《སྣར་》,mལ།
,,427,5,《པེ་》《སྣར་》,pལ་སོགས་པ།
,,428,6,《པེ་》《སྣར་》,ཡུམ།
,,429,7,《སྣར་》,ལྷགས།
,70,430,1,《པེ་》《སྣར་》,བསྟོང་།
,,431,2,《པེ་》《སྣར་》,བརྟག
,,432,3,《པེ་》《སྣར་》,pཔ།
,,433,4,《པེ་》《སྣར་》,ཐམས་ཅད།
,,434,5,《པེ་》《སྣར་》,མི།
,71,435,1,《པེ་》《སྣར་》,གསུངས།
,,436,2,《པེ་》《སྣར་》,གྱི།
,,437,3,《པེ་》《སྣར་》,གྱིས།
,72,438,1,《པེ་》《སྣར་》,ལ།
,,439,2,《པེ་》《སྣར་》,དེ།
,,440,3,《སྣར་》,ཡིད།
,,441,4,《པེ་》《སྣར་》,གཅད།
,,442,5,《པེ་》《སྣར་》,mམི།
,,443,6,《པེ་》《སྣར་》,བསྔོ།
,73,444,1,《པེ་》《སྣར་》,བསྔོ།
,,445,2,《པེ་》《སྣར་》,གཟུང་།
,,446,3,《པེ་》《སྣར་》,གིས།
,74,447,1,《པེ་》《སྣར་》,ཕྱིར།
,,448,2,《པེ་》《སྣར་》,pསུ།
,,449,3,《པེ་》《སྣར་》,བསྔོ།
,75,450,1,《པེ་》《སྣར་》,བསྔོ།
,,451,2,《པེ་》《སྣར་》,ཏེ།
,,452,3,《པེ་》《སྣར་》,mམི།
,,453,4,《པེ་》《སྣར་》,མྱངས།
,,454,5,《པེ་》《སྣར་》,བལྟོས།
