མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
,,451,12,《པེ་》《སྣར་》,ལ།,
,,452,13,《པེ་》《སྣར་》,འབྲལ།,
,,453,14,《པེ་》《སྣར་》,ཅི་འདིའི།,
,,454,15,《པེ་》《སྣར་》,མཐའ།,
,747,455,1,《པེ་》《སྣར་》,ཉེར།,
,,456,2,《པེ་》《སྣར་》,mལ།,
,,457,3,《པེ་》《སྣར་》,mདང་།,
,,458,4,《པེ་》《སྣར་》,བའི།,
,,459,5,《པེ་》《སྣར་》,mཀྱང་།,
,,460,6,《པེ་》《སྣར་》,ལྕོག,
,,461,7,《པེ་》《སྣར་》,འབྲལ།,
,,462,8,《སྣར་》,ཟས།,
