མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།,,,,,
,810,343,1,《པེ་》《སྣར་》,mཉིད་ནི་མེད་པ།,,,,,,
,,344,2,《པེ་》《སྣར་》,སྐྱེད།,,,,,,
,,345,3,《པེ་》,mརབ་ཏུ་ཤེས་པ་དེ་ནི་སྟོང་པ་ཉིད་ལ་ཡང་དག་པ་ཇི་ལྟ་བ་བཞིན་དུ་ཕྱིན།;《སྣར་》,ཕྱིན།,,,,,
,811,346,1,《སྣར་》,པས།,,,,,,
,,347,2,《པེ་》《སྣར་》,ལ།,,,,,,
,,348,3,《པེ་》《སྣར་》,pཡང་།,,,,,,
,,349,4,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,812,350,1,《པེ་》《སྣར་》,གི།,,,,,,
,,351,2,《སྣར་》,pལ།,,,,,,
,,352,3,《པེ་》《སྣར་》,mཆོས་ཐམས་ཅད་ཀྱི་ངོ་ཉིད།,,,,,,
,813,353,1,《པེ་》《སྣར་》,mཀྱི།,,,,,,
,,354,2,《པེ་》《སྣར་》,mབྱར་མི་རུང་ངོ་ཞེས།,,,,,,
,,355,3,《པེ་》《སྣར་》,བལྟ།,,,,,,
,,356,4,《པེ་》《སྣར་》,གཟུང་།,,,,,,
,814,357,1,《པེ་》《སྣར་》,རིག,,,,,,
,,358,2,《པེ་》《སྣར་》,mསྟོང་།,,,,,,
,815,359,1,《པེ་》《སྣར་》,mཐོས།,,,,,,
,,360,2,《པེ་》《སྣར་》,སྩལ།,,,,,,
,,361,3,《པེ་》《སྣར་》,སྩལ།,,,,,,
,,362,4,《པེ་》《སྣར་》,སྩལ།,,,,,,
,,363,5,《པེ་》《སྣར་》,mཔ།,,,,,,
,816,364,1,《པེ་》《སྣར་》,ཀྱི་བཏགས།,,,,,,
,,365,2,《པེ་》《སྣར་》,pདང་།,,,,,,
,,366,3,《པེ་》《སྣར་》,པ།,,,,,,
,,367,4,《པེ་》《སྣར་》,mདེ་ལྟ་བས།,,,,,,
,,368,5,《པེ་》《སྣར་》,བསྐྱེད།,,,,,,
,,369,6,《པེ་》《སྣར་》,ཏེ།,,,,,,
,817,370,1,《པེ་》《སྣར་》,གཟུང་།,,,,,,
,,371,2,《པེ་》《སྣར་》,བཏགས།,,,,,,
,,372,3,《པེ་》《སྣར་》,སོ་སོ།,,,,,,
,,373,4,《པེ་》《སྣར་》,བཏགས།,,,,,,
,,374,5,《སྣར་》,བཏགས།,,,,,,
,,375,6,《པེ་》《སྣར་》,འཛངས།,,,,,,
,,376,7,《པེ་》,ནི་སླའི།;《སྣར་》,བ་ནི་སླའི།,,,,,
,,377,8,《པེ་》《སྣར་》,འགའ་ཤིག,,,,,,
,,378,9,《པེ་》《སྣར་》,mལ།,,,,,,
,818,379,1,《པེ་》《སྣར་》,pལ།,,,,,,
,,380,2,《པེ་》《སྣར་》,mཡང་།,,,,,,
,,381,3,《པེ་》《སྣར་》,པ།,,,,,,
,,382,4,《པེ་》《སྣར་》,ལེའུ།,,,,,,
,,383,5,《པེ་》《སྣར་》,ནི།,,,,,,
,,384,6,《པེ་》《སྣར་》,ཀྱི།,,,,,,
,819,385,1,《པེ་》《སྣར་》,འཇིགས།,,,,,,
