མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,,
,,339,8,《སྣར་》,བཏོགས།,,,,,,
,835,340,1,《པེ་》,ཀྱི།,,,,,,
,,341,2,《སྣར་》,གཉིས་ཅིག,,,,,,
,,342,3,《པེ་》《སྣར་》,གཉིས།,,,,,,
,,343,4,《སྣར་》,རྟོགས།,,,,,,
,,344,6,《སྣར་》,བསྒྲུབས།,,,,,,
,,345,7,《སྣར་》,བོ།,,,,,,
,,346,8,《པེ་》《སྣར་》,ལ།,,,,,,
,,347,9,《སྣར་》,ལ་འདིར།,,,,,,
,836,348,1,《སྣར་》,ཅིག,,,,,,
,,349,2,《པེ་》《སྣར་》,ཤིག,,,,,,
,,350,3,《པེ་》《སྣར་》,གྱིས།,,,,,,
,,351,4,《པེ་》《སྣར་》,པ།,,,,,,
,,352,5,《པེ་》《སྣར་》,དེ།,,,,,,
,,353,6,《པེ་》《སྣར་》,གིས།,,,,,,
,,354,7,《པེ་》《སྣར་》,mལ།,,,,,,
,,355,8,《པེ་》《སྣར་》,བཞིན།,,,,,,
,,356,9,《པེ་》《སྣར་》,mལ།,,,,,,
,837,357,1,《པེ་》《སྣར་》,བརྟན།,,,,,,
,,358,2,《པེ་》,འདིའི།,,,,,,
,,359,3,《སྣར་》,ཉིད།,,,,,,
,,360,4,《པེ་》《སྣར་》,mདུ།,,,,,,
,,361,5,《པེ་》《སྣར་》,པ།,,,,,,
,,362,6,《པེ་》《སྣར་》,པར།,,,,,,
,,363,7,《པེ་》《སྣར་》,དབང་།,,,,,,
,838,364,1,《པེ་》,mནི།,,,,,,
,,365,2,《པེ་》,pམ།,,,,,,
,,366,3,《པེ་》,ན།,,,,,,
,,367,4,《པེ་》《སྣར་》,ལྔ།,,,,,,
,,368,5,《པེ་》《སྣར་》,འཆི།,,,,,,
,,369,6,《པེ་》《སྣར་》《ཅོ་》,གི།,,,,,,
,,370,7,《པེ་》《སྣར་》,གི།,,,,,,
,839,371,1,《པེ་》《སྣར་》,གྱིས།,,,,,,
,,372,2,《པེ་》《སྣར་》,pབ།,,,,,,
,,373,3,《སྣར་》,གིས།,,,,,,
,,374,4,《པེ་》《སྣར་》,pཡིན་པའི་རྟེན།,,,,,,
,,375,5,《པེ་》《སྣར་》,གལ།,,,,,,
,840,376,1,《པེ་》《སྣར་》《ཅོ་》,pཔ།,,,,,,
,,377,2,《སྣར་》,pསྐྱིས།,,,,,,
,,378,3,《པེ་》《སྣར་》,དགོས།,,,,,,
,,379,4,《པེ་》,བརྟོགས།,,,,,,
,,380,5,《སྣར་》,གིས།,,,,,,
,841,381,1,《པེ་》《སྣར་》,ནང་།,,,,,,
,,382,2,《ཅོ་》,པ།,,,,,,
,,383,3,《སྣར་》,བསྲུང་།,,,,,,
,842,384,1,《ཅོ་》,འཆབ་བོ།,,,,,,
,,385,2,《པེ་》《སྣར་》,ནི།,,,,,,
,,386,3,《སྣར་》,གི།,,,,,,
,,387,4,《ཅོ་》,ཆད།,,,,,,
,,388,5,《སྣར་》,པས།,,,,,,
,,389,6,《སྣར་》,སྔོན།,,,,,,
,843,390,1,《སྣར་》,རྟོགས་པ་མངོན།,,,,,,
,,391,2,《པེ་》《སྣར་》,རྟོག,,,,,,
,,392,3,《པེ་》《སྣར་》,mདུ།,,,,,,
,,393,4,《སྣར་》,འགགས།,,,,,,
,,394,5,《པེ་》《སྣར་》,pཔ།,,,,,,
,844,395,1,《སྣར་》,འགྱུར་བ།,,,,,,
,,396,2,《པེ་》《སྣར་》,ཞེ་བྱ་བའི།,,,,,,
,,397,3,《སྣར་》,ཏེ།,,,,,,
,,398,4,《པེ་》《སྣར་》,mདང་།,,,,,,
,,399,5,《ཅོ་》,mདང་པོ།,,,,,,
,845,400,1,《སྣར་》,ཀྱི།,,,,,,
,,401,2,《སྣར་》,སྙམས།,,,,,,
,,402,3,《པེ་》,གཉིས།,,,,,,
,,403,4,《སྣར་》,གྱིས།,,,,,,
,,404,5,《པེ་》《སྣར་》,འགག,,,,,,
,,405,6,《སྣར་》,pཁོ།,,,,,,
,,406,7,《སྣར་》,སློང་།,,,,,,
,,407,8,《པེ་》《སྣར་》,བྱིན།,,,,,,
,846,408,1,《སྣར་》,འདིའི།,,,,,,
,,409,2,《པེ་》《སྣར་》,བསལ་བའི།,,,,,,
,,410,3,《པེ་》,གཏགས།,,,,,,
,,411,4,《པེ་》《སྣར་》,mབཅས་པ།,,,,,,
,,412,5,《པེ་》,pངོ་།,,,,,,
,847,413,1,《པེ་》《སྣར་》,mམ།,,,,,,
,,414,2,《པེ་》《སྣར་》,བཏགས།,,,,,,
,,415,3,《པེ་》《སྣར་》《ཅོ་》,ཏུ།,,,,,,
,,416,4,《པེ་》,འདོན་ཏོ།;《སྣར་》,འདོན་ཏེ།,,,,,
,,417,5,《པེ་》,འཇུག,,,,,,
,,418,6,《སྣར་》,རིགས།,,,,,,
,848,419,1,《སྣར་》,བསྟན།,,,,,,
,,420,2,《སྣར་》,ཀྱིས།,,,,,,
,,421,3,《ཅོ་》,ཕྱི།,,,,,,
,,422,4,《པེ་》《སྣར་》,རིགས།,,,,,,
,,423,5,《སྣར་》,ཀྱིས།,,,,,,
,,424,6,《པེ་》《སྣར་》,པ།,,,,,,
,,425,7,《པེ་》《སྣར་》,mསུམ།,,,,,,
,849,426,1,《པེ་》《སྣར་》,mལ།,,,,,,
,,427,2,《པེ་》《སྣར་》,པ།,,,,,,
,,428,3,《པེ་》《སྣར་》,ན།,,,,,,
,,429,4,《སྣར་》,སྒྲིབས།,,,,,,
,,430,5,《སྣར་》,མཉམ།,,,,,,
,,431,6,《པེ་》《སྣར་》,མཉམས།,,,,,,
,,432,7,《པེ་》《སྣར་》,mམི།,,,,,,
,850,433,1,《ཅོ་》,པར།,,,,,,
,,434,2,《པེ་》《སྣར་》,mཁོ་ན།,,,,,,
,,435,3,《པེ་》《སྣར་》,ཀྱིས།,,,,,,
,,436,4,《སྣར་》,pཉིད།,,,,,,
